Season,Name,Age,Inf,RF Matches,Position,Club,Ability,Potential,Transfer Value (Low),Transfer Value (High),Hdrs A,Tck/90,Tck C,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,Apps (Total),Apps (Sub Apps),Yel,xG,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Starts,Shutouts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps (Total),Int Apps (Sub Apps),Gls/90,All/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Cln/90,Av Rat,Mins/Gl,Ast,Rec,Acc
2025-2026,Leon Bailey - Jamaican,28,Int,,M/AM (RL),Aston Villa - English Premier Division,,,73000000.0,92000000.0,138.0,2.76,69.0,80.0,86.0,2.36,42.0,1.0,25.0,1.0,0.0,0.0,59.0,,,,,2.76,69.0,3.6,90.0,13.87,347.0,5.4,16.63,30.33,759.0,34.45,862.0,88.0,1.52,38.0,0.4,10.0,3.28,82.0,12.0,11.0,0.0,0.0,0.0,1.72,43.0,0.08,2.2,55.0,15.79,41.0,2.28,57.0,3.24,1.0,3.0,,,,0.1,3.92,98.0,8.0,199.9,0.48,12.0,4.16,104.0,12.0,10.0,0.72,18.0,13.0,0.52,0.32,8.0,0.2,5.52,34.0,2.0,1.0,6.18,,1.28,1.24,,32.0,32.0,,0.0,1.35,2.0,,0.0,,,,0.0,0.25,6.18,327.0,,66.24,2252.0,,,,7.46,5.0,12.0,0.0,0.24,,,6.0,13.0,,14.0,7.0,38.0,40.0,37.0,0.25,-0.18,0.23,5.69,,7.15,375.33,5.0,- - -,17.0
2025-2026,- -,29,,,,,,,104000000.0,125000000.0,85.0,2.44,81.0,101.0,80.0,1.06,34.0,0.36,12.0,0.51,0.12,4.0,35.0,,,,,3.02,100.0,2.05,68.0,7.15,237.0,7.33,4.86,39.14,1297.0,45.0,1491.0,87.0,0.88,29.0,0.12,4.0,0.36,12.0,33.0,0.0,0.0,0.12,4.0,0.88,29.0,0.27,1.48,49.0,9.39,56.0,1.45,48.0,1.12,0.0,0.0,,,,0.1,0.94,31.0,5.5,180.9,0.12,4.0,0.36,12.0,33.0,6.0,0.45,15.0,5.0,0.15,0.33,11.0,0.21,2.57,37.0,4.0,8.0,3.49,,0.97,0.6,,32.0,33.0,,0.0,1.49,1.0,,0.0,,,,0.0,0.11,3.49,0.0,,80.59,2982.0,,,,6.94,0.0,8.0,3.0,0.06,,,2.0,12.0,,6.0,19.0,32.0,51.0,42.0,0.11,-1.49,0.16,5.17,,7.46,1491.0,7.0,- - -,15.0
2025-2026,- -,24,Wnt,,,,,,29000000.0,35000000.0,0.0,2.16,67.0,84.0,80.0,0.71,18.0,0.13,4.0,0.0,0.0,0.0,22.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.07,468.0,20.61,640.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0,0.0,0.0,0.0,,,0.0,0.19,,32.0,1.0,0.0,2.5,,0.0,0.0,,0.0,31.0,,1.0,1.0,5.0,,0.0,,,,0.0,0.08,2.5,0.0,,87.34,2795.0,,,,,,,,0.1,,,3.0,0.0,,0.0,32.0,0.0,49.0,61.0,0.08,0.5,0.1,3.17,,7.86,931.67,6.0,- - -,15.0
2025-2026,- -,25,Int,Lluis Gonzales (4/5/2026),,,,,25000000.0,36000000.0,179.0,1.37,26.0,35.0,74.0,2.99,61.0,1.84,35.0,0.84,0.0,0.0,57.0,,,,,1.1,21.0,1.68,32.0,7.41,141.0,3.36,10.56,19.86,378.0,23.17,441.0,86.0,1.05,20.0,0.16,3.0,0.84,16.0,19.0,12.0,0.0,0.0,0.0,1.05,20.0,0.11,0.79,15.0,6.73,34.0,3.2,61.0,6.2,2.0,1.0,,,,0.11,1.31,25.0,7.4,140.9,0.16,3.0,0.84,16.0,18.0,12.0,0.16,3.0,4.0,0.21,0.16,3.0,0.11,9.4,21.0,1.0,3.0,6.24,,1.58,1.42,,30.0,20.0,,0.0,1.43,1.0,100.0,1.0,,,,1.0,0.33,6.24,0.0,,81.57,1713.0,,,,7.5,2.0,6.0,0.0,0.37,,,7.0,8.0,,7.0,6.0,38.0,29.0,68.0,0.33,0.76,0.15,2.88,,7.02,244.71,2.0,- - -,14.0
2025-2026,- -,23,Int,3 Focuses,,,,,19500000.0,27000000.0,103.0,1.59,65.0,81.0,80.0,2.06,40.0,0.83,34.0,0.44,0.02,1.0,84.0,,,,,1.05,43.0,1.62,66.0,6.3,257.0,5.76,5.64,22.03,899.0,28.04,1144.0,79.0,0.59,24.0,0.22,9.0,1.13,46.0,18.0,4.0,0.0,0.0,0.0,0.88,36.0,0.02,1.18,48.0,7.84,15.0,0.37,15.0,2.16,1.0,4.0,,,,0.1,1.42,58.0,4.2,169.4,0.39,16.0,2.13,87.0,19.0,7.0,0.2,8.0,8.0,0.2,0.15,6.0,0.15,2.52,41.0,0.0,0.0,8.75,,0.64,0.88,,26.0,41.0,,0.0,1.17,2.0,100.0,1.0,,,,1.0,0.19,7.95,0.0,,89.56,3672.0,,,,6.97,0.0,3.0,2.0,0.15,,,6.0,8.0,,9.0,24.0,20.0,29.0,82.0,0.21,-2.75,0.16,6.38,,7.15,612.0,6.0,- - -,15.0
2025-2026,- -,26,Wnt,,,,,,14000000.0,21000000.0,24.0,1.3,54.0,70.0,77.0,1.76,45.0,0.8,33.0,0.14,0.0,0.0,73.0,,,,,0.72,30.0,0.48,20.0,1.59,66.0,1.37,1.33,18.36,762.0,24.02,997.0,76.0,0.19,8.0,0.05,2.0,0.24,10.0,20.0,0.0,0.0,0.0,0.0,0.29,12.0,0.0,0.36,15.0,2.14,13.0,0.07,3.0,0.51,1.0,0.0,,,,0.09,0.31,13.0,1.3,53.3,0.05,2.0,0.24,10.0,20.0,8.0,0.12,5.0,2.0,0.05,0.02,1.0,0.19,0.58,43.0,0.0,1.0,6.29,,0.39,0.1,,16.0,43.0,,1.0,1.21,4.0,100.0,1.0,,,,1.0,0.13,5.49,0.0,,86.86,3735.0,,,,,,,,0.14,,,6.0,5.0,,1.0,37.0,12.0,55.0,61.0,0.15,-0.29,0.11,4.36,,7.69,622.5,8.0,- - -,14.0
2025-2026,- -,25,,,,,,,61000000.0,73000000.0,49.0,1.6,25.0,30.0,83.0,2.18,47.0,1.02,16.0,0.77,0.06,1.0,34.0,,,,,3.59,56.0,2.69,42.0,10.83,169.0,8.52,11.15,46.25,722.0,51.69,807.0,89.0,1.6,25.0,0.0,0.0,0.58,9.0,9.0,2.0,0.0,0.06,1.0,2.05,32.0,0.0,1.79,28.0,13.13,24.0,0.77,12.0,2.37,0.0,2.0,,,,0.13,1.73,27.0,7.9,123.1,0.13,2.0,1.47,23.0,,6.0,0.7,11.0,12.0,0.77,0.26,4.0,0.45,3.14,26.0,9.0,1.0,4.33,,1.67,0.77,,26.0,17.0,,0.0,2.04,4.0,50.0,1.0,,,,2.0,0.23,3.52,970.0,,54.04,1405.0,,,,,,,,0.13,,,2.0,16.0,,5.0,5.0,62.0,12.0,13.0,0.28,-2.33,0.27,4.29,,7.15,702.5,7.0,- - -,16.0
2025-2026,- -,18,Int,Bojan Krkic (5/30/2026),,,,,23000000.0,28000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,- - -,12.0
2025-2026,- -,20,Wnt,Ricardo Camacho (4/1/2026),,,,,14500000.0,14500000.0,181.0,0.98,27.0,38.0,71.0,4.56,60.0,2.71,75.0,1.59,0.0,0.0,126.0,,,,,0.76,21.0,1.48,41.0,6.73,186.0,2.64,12.37,17.9,495.0,21.01,581.0,85.0,0.83,23.0,0.04,1.0,0.36,10.0,10.0,17.0,0.0,0.04,1.0,0.83,23.0,0.0,0.94,26.0,6.44,24.0,1.59,44.0,4.95,7.0,0.0,,,,0.1,1.48,41.0,7.3,202.6,0.04,1.0,0.36,10.0,10.0,14.0,0.4,11.0,7.0,0.25,0.18,5.0,0.11,6.54,30.0,0.0,0.0,12.84,,2.06,0.9,,57.0,30.0,,0.0,2.3,1.0,100.0,1.0,,,,1.0,0.46,12.84,77.0,,82.97,2489.0,,,,,,,,0.65,,,18.0,22.0,,5.0,3.0,73.0,22.0,88.0,0.46,5.16,0.1,2.82,,7.18,138.28,3.0,- - -,16.0
2025-2026,- -,21,,Javier Ribalta (2/6/2026),,,,,28000000.0,34000000.0,0.0,1.15,25.0,38.0,66.0,0.88,47.0,0.41,9.0,0.0,0.0,0.0,19.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.34,333.0,21.19,460.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,0.0,0.0,0.0,,,0.0,0.09,,23.0,2.0,0.0,2.01,,0.0,0.0,,0.0,21.0,,0.0,1.0,0.0,,0.0,,,,0.0,0.09,2.01,0.0,,84.96,1954.0,,,,,,,,0.14,,,3.0,0.0,,0.0,23.0,0.0,25.0,29.0,0.09,0.99,0.0,0.0,,7.21,651.33,2.0,- - -,15.0
2025-2026,- -,22,,,,,,,86000000.0,126000000.0,101.0,2.04,74.0,87.0,85.0,1.16,33.0,0.39,14.0,0.39,0.0,0.0,42.0,,,,,3.78,137.0,3.12,113.0,11.51,417.0,11.17,13.55,47.12,1708.0,52.97,1920.0,89.0,1.32,48.0,0.25,9.0,1.16,42.0,16.0,4.0,0.0,0.03,1.0,1.6,58.0,0.14,1.55,56.0,12.33,40.0,1.1,40.0,1.68,0.0,3.0,,,,0.13,1.19,43.0,7.9,286.5,1.24,45.0,7.89,286.0,21.0,14.0,0.66,24.0,13.0,0.36,0.19,7.0,0.11,2.79,40.0,2.0,5.0,5.44,,1.93,0.88,,70.0,38.0,,0.0,2.12,2.0,,0.0,,,,0.0,0.15,5.44,0.0,,81.55,3262.0,,,,,,,,0.17,,,6.0,25.0,,5.0,10.0,63.0,35.0,22.0,0.15,0.56,0.11,3.92,,7.1,543.67,4.0,- - -,15.0
2025-2026,- -,24,Int,,,,,,30000000.0,44000000.0,2.0,1.17,35.0,50.0,70.0,1.53,41.0,0.63,19.0,0.0,0.0,0.0,46.0,,,,,0.0,0.0,0.13,4.0,0.37,11.0,0.2,0.37,14.83,445.0,20.47,614.0,72.0,0.0,0.0,0.0,0.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,3.0,0.53,50.0,0.03,1.0,0.03,0.0,0.0,,,,0.1,0.27,8.0,0.3,8.0,0.0,0.0,0.03,1.0,,7.0,0.03,1.0,0.0,,0.03,1.0,0.27,0.07,30.0,0.0,0.0,4.42,,0.1,0.0,,3.0,30.0,,0.0,1.07,3.0,,0.0,,,,0.0,0.15,4.42,0.0,,90.0,2700.0,,,,7.6,1.0,4.0,1.0,0.1,,,3.0,1.0,,0.0,29.0,3.0,32.0,47.0,0.15,-1.42,0.0,0.0,,7.77,900.0,8.0,- - -,17.0
2025-2026,- -,25,,,,,,,79000000.0,118000000.0,72.0,2.05,66.0,84.0,79.0,1.83,37.0,0.68,22.0,0.34,0.0,0.0,59.0,,,,,3.05,98.0,2.46,79.0,9.77,314.0,5.82,9.89,31.22,1004.0,37.07,1192.0,84.0,1.49,48.0,0.28,9.0,1.37,44.0,18.0,7.0,0.0,0.0,0.0,1.68,54.0,0.0,1.43,46.0,10.45,18.0,0.4,13.0,1.83,0.0,0.0,,,,0.12,2.11,68.0,5.9,188.3,0.78,25.0,4.23,136.0,20.0,7.0,0.68,22.0,11.0,0.34,0.19,6.0,0.19,2.24,36.0,0.0,1.0,7.0,,0.93,0.78,,30.0,36.0,,0.0,1.36,5.0,100.0,1.0,,,,1.0,0.19,6.2,0.0,,80.39,2894.0,,,,,,,,0.12,,,4.0,9.0,,5.0,22.0,25.0,19.0,46.0,0.22,-3.0,0.25,7.94,,7.41,723.5,6.0,- - -,15.0
2025-2026,- -,18,Wnt,4 Focuses,,,,,38000000.0,44000000.0,3.0,,1.0,2.0,50.0,,,,,,,0.0,0.0,,,,,,1.0,,2.0,,6.0,,,,21.0,,25.0,84.0,,1.0,,0.0,,1.0,0.0,0.0,0.0,,0.0,,1.0,,,0.0,,33.0,,1.0,,0.0,0.0,,,,0.0,,1.0,,4.0,,0.0,,1.0,,,,0.0,0.0,,,0.0,,,1.0,1.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,52.0,52.0,,,,,,,,,,,0.0,0.0,,1.0,0.0,0.0,2.0,0.0,,0.0,,0.0,,6.3,,0.0,- - -,14.0
2025-2026,- -,22,Int,,,,,,45000000.0,45000000.0,48.0,1.35,29.0,36.0,81.0,2.57,47.0,1.21,26.0,0.33,0.0,0.0,55.0,,,,,0.93,20.0,0.7,15.0,4.71,101.0,3.69,4.99,21.42,459.0,27.2,583.0,79.0,0.56,12.0,0.14,3.0,0.51,11.0,25.0,3.0,0.0,0.0,0.0,0.56,12.0,0.05,0.75,16.0,5.74,25.0,0.56,12.0,1.68,2.0,0.0,,,,0.14,0.93,20.0,3.7,80.3,0.14,3.0,0.56,12.0,27.0,9.0,0.47,10.0,1.0,0.05,,0.0,0.23,2.24,23.0,1.0,0.0,7.66,,0.93,0.61,,20.0,22.0,,0.0,1.35,2.0,,0.0,,,,0.0,0.36,7.66,0.0,,83.87,1929.0,,,,6.88,0.0,5.0,0.0,0.23,,,5.0,6.0,,4.0,13.0,26.0,20.0,39.0,0.36,-2.66,0.08,1.72,,7.43,385.8,5.0,- - -,15.0
