Season,Name,Club,Position,Position Selected,Age,Inf,Type,Nat,Transfer Value (Low),Transfer Value (High),Salary,Begins,Expires,Transfer Fees Received,Ability,Potential,Apps (Total),Apps (Sub Apps),Starts,Gls,Ast,Av Rat,Yel,Red,PoM,Agreed Playing Time,Home Grown Status,Personality,Det,Injury,Injury Risk,Int Apps (Total),Int Apps (Sub Apps),Injury Susceptibility,Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Natural Fitness,Off The Ball,One on Ones,Pace,Passing,Penalty Taking,Positioning,Punching (Tendency),Reflexes,Rushing Out (Tendency),Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate,Hdrs A,Aer A/90,Asts/90,Blk,Blk/90,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,FK Shots,Goals Outside Box,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,K Hdrs/90,K Pas,K Ps/90,K Tck,K Tck/90,Gl Mst,Off,OP-Cr %,OP-Crs A,OP-Crs A/90,OP-Crs C,OP-Crs C/90,OP-KP,OP-KP/90,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck C,Tck/90,Mins/Gl,Cln/90,xA,xA/90,xG-OP,xG/90,FA,Fls,Gwin,D,Lost,G. Mis,Won,Conc,All/90,Gls/90,Int Ast,Int Av Rat,Int Conc,Last 5 FT Games,Last 5 Games,LMR,Mins,Mins/Gm,Last C,Last Gl,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Pts/Gm,Shutouts,Tgls,Tall,Tcon/90,Tgls/90,Saves/90,xG,AT Apps,AT Lge Apps,AT Gls,AT Lge Gls
2025-2026,Gonçalo Moreira,Vallecano,"M (C), AM (RLC)",,20.0,,Full Contract,POR,12000000.0,14000000.0,276000.0,7/5/2024,6/30/2029,500000.0,,,16.0,4.0,12.0,2.0,1.0,6.88,0.0,0.0,0.0,Out On Loan,Trained at club (15-21),Professional,16.0,,Increased,,,Average,15.0,3.0,12.0,16.0,12.0,11.0,13.0,2.0,2.0,13.0,13.0,9.0,13.0,14.0,15.0,3.0,13.0,13.0,14.0,7.0,2.0,7.0,6.0,2.0,9.0,11.0,4.0,7.0,13.0,15.0,2.0,14.0,14.0,9.0,9.0,2.0,3.0,1.0,12.0,12.0,6.0,13.0,15.0,2.0,16.0,14.0,35.0,3.32,0.09,8.0,0.76,0.19,2.0,6.0,0.57,10.0,3.0,28.0,2.65,1.0,0.09,84.8,8.0,33.0,3.13,0.11,,,,0.0,0.0,2.08,13.0,1.23,37.0,15.73,21.0,1.99,0.09,13.0,1.23,0.0,0.0,0.0,3.0,4.0,26.0,2.46,1.0,0.09,13.0,1.23,82.0,381.0,36.09,314.0,29.75,17.72,4.17,132.0,12.51,41.0,3.88,28.0,2.65,,,,,21.0,0.0,0.0,0.38,8.0,0.76,38.0,1.99,85.0,33.0,28.0,2.65,475.0,,1.57,0.15,-0.27,0.22,18.0,11.0,31.0,2.0,9.0,,5.0,,,0.19,,,,,,,950.0,59.38,,348.0,2.27,0.22,0.0,,,,0.0,,1.06,,10.0,,1.33,0.95,,2.27,100.0,99.0,17.0,17.0
2025-2026,Gabriël Misehouy,Benfica,"M (C), AM (RLC), ST (C)",S10,20.0,,Full Contract,NED,19000000.0,22000000.0,806000.0,7/1/2024,6/30/2028,0.0,,,35.0,29.0,6.0,7.0,3.0,7.09,0.0,0.0,2.0,Breakthrough Prospect,,Balanced,14.0,,Low,,,Above Average,13.0,1.0,11.0,16.0,10.0,13.0,7.0,2.0,3.0,10.0,11.0,12.0,8.0,12.0,14.0,2.0,13.0,14.0,13.0,9.0,3.0,8.0,8.0,3.0,13.0,12.0,6.0,7.0,13.0,11.0,3.0,12.0,13.0,9.0,8.0,4.0,2.0,2.0,10.0,13.0,6.0,12.0,14.0,2.0,15.0,12.0,39.0,2.73,0.21,2.0,0.14,1.05,15.0,8.0,0.56,27.0,27.0,18.0,1.26,5.0,0.35,127.3,8.9,23.0,1.61,0.14,,,,0.0,4.0,2.03,10.0,0.7,26.0,16.47,19.0,1.33,0.07,37.0,2.59,0.0,0.0,0.0,4.0,28.0,18.0,1.26,5.0,0.35,37.0,2.59,89.0,673.0,47.17,599.0,41.99,8.13,5.33,122.0,8.55,31.0,2.17,70.0,4.91,,,,,26.0,0.0,0.0,1.12,13.0,0.91,50.0,1.82,65.0,34.0,22.0,1.54,183.43,,4.26,0.3,3.37,0.25,19.0,10.0,80.0,4.0,3.0,2.0,28.0,,,0.49,,,,,,,1284.0,36.69,,123.0,3.63,0.25,0.0,,,,0.0,,2.51,,31.0,,0.63,2.17,,3.63,107.0,92.0,16.0,15.0
2025-2026,Andreas Schjelderup,Benfica,"M/AM (L), ST (C)",AML,21.0,Trv,Full Contract,NOR,65000000.0,75000000.0,3328000.0,11/8/2024,6/30/2029,12250000.0,,,39.0,19.0,20.0,16.0,3.0,7.08,1.0,0.0,1.0,Squad Player,,Fairly Professional,13.0,,Very High,5.0,2.0,Very High,15.0,3.0,9.0,16.0,16.0,9.0,10.0,1.0,3.0,16.0,14.0,13.0,12.0,14.0,16.0,2.0,14.0,17.0,15.0,13.0,2.0,7.0,8.0,2.0,9.0,14.0,3.0,5.0,13.0,16.0,1.0,15.0,15.0,16.0,7.0,2.0,1.0,1.0,11.0,9.0,4.0,13.0,15.0,3.0,17.0,13.0,97.0,4.25,0.13,4.0,0.18,1.09,25.0,6.0,0.26,23.0,16.0,115.0,5.03,21.0,0.92,193.4,8.5,71.0,3.11,0.17,,,,13.0,8.0,3.59,15.0,0.66,15.0,16.42,47.0,2.06,0.04,61.0,2.67,0.0,0.0,0.0,14.0,18.0,71.0,3.11,12.0,0.53,41.0,1.79,83.0,1019.0,44.61,848.0,37.12,15.1,6.83,259.0,11.34,80.0,3.5,83.0,3.63,,,,,71.0,0.0,0.0,1.44,32.0,1.4,45.0,3.11,93.0,43.0,40.0,1.75,128.5,,6.29,0.28,3.92,0.53,54.0,21.0,85.0,3.0,3.0,,33.0,,,0.7,2.0,7.14,,,,7.9,2056.0,52.72,,77.0,8.11,0.36,5.0,,,,4.0,80.0,2.62,,61.0,,0.66,2.67,,12.08,179.0,132.0,51.0,41.0
2025-2026,Rafael Luís,Benfica,"DM, M (C)",MC,21.0,,Full Contract,POR,32000000.0,42000000.0,923000.0,11/29/2024,6/30/2029,775000.0,,,41.0,23.0,18.0,3.0,9.0,7.1,2.0,0.0,2.0,Breakthrough Prospect,Trained at club (15-21),Model Citizen,16.0,,Normal,,,Below Average,14.0,1.0,10.0,14.0,14.0,15.0,11.0,1.0,2.0,15.0,13.0,10.0,9.0,14.0,13.0,1.0,8.0,15.0,14.0,7.0,2.0,9.0,14.0,4.0,10.0,12.0,6.0,12.0,16.0,11.0,3.0,15.0,15.0,10.0,12.0,1.0,2.0,3.0,14.0,14.0,12.0,12.0,16.0,1.0,15.0,11.0,66.0,2.81,0.38,2.0,0.09,0.64,15.0,6.0,0.26,7.0,30.0,28.0,1.19,9.0,0.38,205.3,8.7,39.0,1.66,0.12,,,,0.0,1.0,1.02,42.0,1.79,64.0,14.94,45.0,1.92,0.09,45.0,1.92,1.0,0.04,0.0,0.0,32.0,20.0,0.85,6.0,0.26,41.0,1.75,89.0,1587.0,67.56,1405.0,59.82,10.18,8.13,224.0,9.54,77.0,3.28,155.0,6.6,,,,,42.0,2.0,0.09,1.06,14.0,0.6,33.0,1.79,75.0,52.0,39.0,1.66,704.67,,4.96,0.21,-1.84,0.21,28.0,15.0,80.0,3.0,5.0,,33.0,,,0.13,,,,,,7.1,2114.0,51.56,,908.0,4.84,0.21,0.0,,,,0.0,,2.49,,58.0,,0.77,2.47,,4.84,106.0,73.0,11.0,11.0
2025-2026,Aldo Ilharco,Benfica,M/AM (C),,15.0,Yth,Full Contract,POR,22000000.0,27000000.0,5750.0,3/21/2026,6/30/2030,0.0,,,,,,,,,,,,Youngster,,Realist,12.0,,High,,,Low,10.0,1.0,16.0,12.0,8.0,15.0,12.0,2.0,1.0,11.0,7.0,10.0,8.0,11.0,11.0,3.0,14.0,11.0,18.0,12.0,1.0,8.0,4.0,2.0,12.0,11.0,4.0,4.0,11.0,11.0,1.0,12.0,16.0,7.0,7.0,4.0,1.0,3.0,8.0,5.0,7.0,16.0,15.0,4.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
2025-2026,Valentín Carboni,Benfica,"AM (RC), ST (C)",,21.0,Trv,Full Contract,ARG,55000000.0,71000000.0,2704000.0,1/2/2025,6/30/2029,36000000.0,,,49.0,0.0,49.0,16.0,8.0,7.2,0.0,0.0,7.0,Star Player,,Fairly Determined,15.0,,High,,,Low,16.0,1.0,7.0,17.0,14.0,13.0,12.0,3.0,1.0,15.0,12.0,9.0,12.0,14.0,17.0,2.0,15.0,15.0,16.0,11.0,2.0,10.0,12.0,2.0,9.0,14.0,5.0,9.0,16.0,17.0,1.0,14.0,16.0,11.0,10.0,1.0,3.0,1.0,14.0,12.0,9.0,12.0,16.0,1.0,16.0,14.0,172.0,4.33,0.2,6.0,0.15,0.63,25.0,9.0,0.23,18.0,18.0,55.0,1.39,16.0,0.4,336.9,8.5,107.0,2.7,0.16,,,,10.0,4.0,2.7,65.0,1.64,38.0,14.13,53.0,1.34,0.0,71.0,1.79,2.0,0.05,1.0,3.0,29.0,43.0,1.08,8.0,0.2,54.0,1.36,86.0,1664.0,41.93,1437.0,36.21,9.9,5.52,447.0,11.26,116.0,2.92,128.0,3.23,,,,,88.0,1.0,0.03,0.78,44.0,1.11,50.0,2.22,80.0,76.0,61.0,1.54,223.25,,8.39,0.21,2.24,0.35,55.0,13.0,78.0,5.0,6.0,,38.0,,,0.4,,,,,,8.2,3572.0,72.9,,36.0,13.76,0.35,0.0,,,,0.0,,2.43,,92.0,,0.76,2.32,,13.76,110.0,79.0,36.0,26.0
2025-2026,Beraldo,Benfica,"D (LC), DM",DCR,22.0,IPR,Full Contract,BRA,56000000.0,70000000.0,4108000.0,7/1/2025,6/30/2030,54000000.0,,,46.0,2.0,44.0,1.0,0.0,6.95,4.0,0.0,0.0,Important Player,,Balanced,13.0,,High,,,Below Average,15.0,3.0,10.0,14.0,15.0,15.0,12.0,3.0,3.0,14.0,14.0,5.0,10.0,14.0,11.0,3.0,10.0,13.0,11.0,8.0,1.0,14.0,13.0,2.0,14.0,8.0,7.0,14.0,14.0,12.0,3.0,14.0,13.0,7.0,16.0,2.0,2.0,1.0,15.0,14.0,14.0,12.0,13.0,2.0,13.0,13.0,250.0,5.84,,12.0,0.28,0.07,3.0,33.0,0.77,5.0,20.0,5.0,0.12,1.0,0.02,294.2,6.9,10.0,0.23,0.09,,,,0.0,0.0,2.03,163.0,3.8,65.0,4.29,70.0,1.63,0.44,9.0,0.21,13.0,0.3,2.0,1.0,20.0,5.0,0.12,1.0,0.02,8.0,0.19,93.0,3112.0,72.63,2896.0,67.59,5.23,10.13,96.0,2.24,29.0,0.68,270.0,6.3,,,,,22.0,10.0,0.23,0.07,11.0,0.26,50.0,0.51,82.0,55.0,45.0,1.05,3856.0,,1.07,0.02,-0.93,0.05,4.0,18.0,76.0,5.0,6.0,,35.0,,,0.02,,,,,,7.2,3856.0,83.83,,2276.0,1.93,0.05,0.0,,,,0.0,,2.39,,91.0,,0.63,2.12,,1.93,135.0,116.0,5.0,4.0
2025-2026,João Neves,Benfica,"DM, M/AM (C)",,21.0,Trv,Full Contract,POR,57000000.0,74000000.0,4159000.0,9/10/2025,6/30/2030,0.0,,,36.0,3.0,33.0,7.0,8.0,7.24,7.0,0.0,3.0,Important Player,Trained at club (15-21),Resolute,17.0,A lower back stress fracture,Increased,6.0,3.0,Above Average,14.0,2.0,17.0,15.0,14.0,15.0,15.0,1.0,3.0,15.0,17.0,14.0,13.0,14.0,15.0,3.0,12.0,14.0,15.0,10.0,2.0,13.0,12.0,2.0,13.0,12.0,12.0,11.0,17.0,14.0,3.0,14.0,15.0,11.0,13.0,4.0,3.0,1.0,17.0,13.0,12.0,14.0,15.0,1.0,15.0,17.0,80.0,2.62,0.26,7.0,0.23,0.49,15.0,17.0,0.56,13.0,29.0,87.0,2.84,26.0,0.85,261.3,8.5,49.0,1.6,0.11,,,,0.0,2.0,1.27,41.0,1.34,51.0,14.45,43.0,1.41,0.1,65.0,2.12,4.0,0.13,0.0,3.0,30.0,24.0,0.78,7.0,0.23,46.0,1.5,91.0,2020.0,66.04,1838.0,60.09,9.06,7.75,277.0,9.06,74.0,2.42,200.0,6.54,,,,,54.0,7.0,0.23,1.01,22.0,0.72,41.0,1.77,70.0,71.0,50.0,1.63,393.29,,6.74,0.22,0.87,0.2,39.0,37.0,83.0,4.0,2.0,,30.0,,,0.23,2.0,7.3,,,,,2753.0,76.47,,839.0,6.13,0.2,0.0,,,,0.0,,2.61,,70.0,,0.59,2.29,,6.13,151.0,99.0,15.0,9.0
2025-2026,António Silva,Benfica,D (C),,22.0,Trv,Full Contract,POR,67000000.0,75000000.0,3807000.0,3/11/2024,6/30/2028,0.0,,,46.0,1.0,45.0,2.0,4.0,7.09,7.0,1.0,0.0,Important Player,Trained at club (15-21),Spirited,16.0,,High,5.0,1.0,Below Average,15.0,3.0,11.0,16.0,16.0,15.0,14.0,2.0,1.0,16.0,15.0,7.0,9.0,15.0,13.0,3.0,8.0,14.0,13.0,6.0,2.0,15.0,14.0,2.0,14.0,6.0,6.0,15.0,16.0,9.0,1.0,16.0,14.0,11.0,14.0,3.0,1.0,1.0,16.0,15.0,16.0,14.0,15.0,3.0,15.0,13.0,330.0,7.64,0.09,14.0,0.32,0.09,4.0,24.0,0.56,5.0,28.0,7.0,0.16,2.0,0.05,298.3,6.9,5.0,0.12,0.12,,,,0.0,0.0,2.18,236.0,5.47,72.0,4.1,120.0,2.78,0.53,11.0,0.25,13.0,0.3,0.0,1.0,29.0,7.0,0.16,2.0,0.05,11.0,0.25,95.0,3091.0,71.59,2925.0,67.74,4.38,12.21,111.0,2.57,30.0,0.69,305.0,7.06,,,,,38.0,8.0,0.19,0.02,8.0,0.19,21.0,0.88,77.0,52.0,40.0,0.93,1943.0,,2.47,0.06,-2.68,0.11,9.0,19.0,78.0,5.0,5.0,,36.0,,,0.05,0.0,7.2,,,,7.5,3886.0,84.48,,221.0,4.68,0.11,0.0,,,,0.0,,2.46,,98.0,,0.58,2.27,,4.68,167.0,112.0,8.0,6.0
2025-2026,Anatolii Trubin,Benfica,GK,,24.0,Wnt,Full Contract,UKR,51000000.0,62000000.0,4004000.0,1/17/2025,6/30/2029,10750000.0,,,36.0,0.0,36.0,0.0,0.0,7.02,0.0,0.0,1.0,Star Player,,Fairly Professional,12.0,,Low,7.0,0.0,Below Average,11.0,19.0,7.0,15.0,15.0,13.0,14.0,14.0,12.0,14.0,15.0,1.0,3.0,13.0,3.0,3.0,2.0,13.0,5.0,1.0,16.0,8.0,18.0,14.0,9.0,2.0,2.0,1.0,14.0,1.0,13.0,12.0,14.0,11.0,16.0,6.0,15.0,13.0,13.0,15.0,2.0,12.0,12.0,13.0,13.0,14.0,,,,,,,0.0,,1.65,,,,,,,139.7,4.0,0.0,,0.0,-4.11,-0.12,83.0,,,,,,,0.03,6.0,0.17,0.0,0.0,,0.0,0.0,2.0,0.0,,,,,,0.0,0.0,94.0,769.0,21.92,725.0,20.67,2.0,5.19,0.0,0.0,0.0,0.0,9.0,0.26,70.0,24.0,25.0,12.0,0.0,,,,,,,,0.0,1.0,0.0,0.0,,0.57,0.0,0.0,0.0,0.0,0.0,0.0,75.0,4.0,5.0,,27.0,30.0,0.86,,0.0,6.84,6.0,,,7.3,3157.0,87.69,90.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.36,20.0,83.0,30.0,0.86,2.37,1.0,0.0,194.0,153.0,,
2025-2026,Fredrik Aursnes,Benfica,"DM, M (C)",,30.0,Trv,Full Contract,NOR,42000000.0,50000000.0,4678000.0,3/12/2025,6/30/2028,14500000.0,,,46.0,5.0,41.0,5.0,6.0,7.04,8.0,0.0,3.0,Important Player,,Professional,16.0,,Increased,6.0,0.0,Low,13.0,1.0,15.0,13.0,14.0,17.0,15.0,2.0,3.0,15.0,15.0,14.0,14.0,16.0,12.0,2.0,9.0,14.0,12.0,8.0,3.0,10.0,10.0,2.0,14.0,10.0,6.0,11.0,20.0,12.0,1.0,14.0,15.0,10.0,16.0,1.0,3.0,1.0,16.0,12.0,13.0,17.0,14.0,3.0,13.0,17.0,91.0,2.46,0.16,8.0,0.22,0.81,30.0,10.0,0.27,19.0,33.0,142.0,3.84,37.0,1.0,311.0,8.4,26.0,0.7,0.11,,,,0.0,4.0,1.38,40.0,1.08,44.0,12.4,58.0,1.57,0.0,85.0,2.3,4.0,0.11,1.0,1.0,26.0,30.0,0.81,10.0,0.27,47.0,1.27,92.0,2554.0,69.15,2341.0,63.38,8.07,7.69,341.0,9.23,112.0,3.03,286.0,7.74,,,,,26.0,4.0,0.11,0.51,13.0,0.35,50.0,0.7,74.0,99.0,73.0,1.98,664.8,,9.21,0.25,2.24,0.07,31.0,52.0,78.0,4.0,6.0,,36.0,,,0.14,0.0,7.03,,,,7.2,3324.0,72.26,,1159.0,2.76,0.07,0.0,,,,0.0,,2.43,,82.0,,0.92,2.22,,2.76,482.0,431.0,58.0,52.0
2025-2026,Mason Greenwood,Benfica,"M (R), AM (RLC), ST (C)",,24.0,Wnt,Full Contract,ENG,38000000.0,48000000.0,4888000.0,7/2/2025,6/30/2030,0.0,,,45.0,0.0,45.0,18.0,12.0,7.36,0.0,0.0,6.0,Squad Player,,Jovial,14.0,,Increased,,,Low,15.0,2.0,13.0,15.0,13.0,13.0,10.0,1.0,1.0,15.0,10.0,4.0,12.0,11.0,17.0,1.0,16.0,15.0,16.0,13.0,2.0,7.0,10.0,3.0,4.0,13.0,1.0,1.0,15.0,13.0,2.0,16.0,13.0,9.0,4.0,3.0,2.0,4.0,12.0,9.0,2.0,11.0,14.0,3.0,12.0,12.0,147.0,3.78,0.31,8.0,0.21,0.75,29.0,14.0,0.36,14.0,15.0,236.0,6.07,54.0,1.39,319.7,8.2,166.0,4.27,0.12,,,,11.0,5.0,2.75,40.0,1.03,27.0,14.55,59.0,1.52,0.0,94.0,2.42,2.0,0.05,0.0,14.0,23.0,166.0,4.27,26.0,0.67,60.0,1.54,83.0,1576.0,40.53,1313.0,33.76,15.51,6.43,462.0,11.88,137.0,3.52,109.0,2.8,,,,,126.0,2.0,0.05,1.75,50.0,1.29,40.0,3.24,83.0,99.0,82.0,2.11,194.44,,11.58,0.3,3.36,0.38,103.0,28.0,80.0,4.0,5.0,,36.0,,,0.46,,,,,,8.1,3500.0,77.78,,169.0,14.64,0.38,0.0,,,,0.0,,2.49,,84.0,,0.57,2.16,,14.64,200.0,182.0,51.0,47.0
2025-2026,Marcos Leonardo,Benfica,"AM (L), ST (C)",STC,23.0,Wnt,Full Contract,BRA,34000000.0,41000000.0,3848000.0,9/15/2025,6/30/2030,19250000.0,,,42.0,14.0,28.0,10.0,7.0,6.97,2.0,0.0,3.0,Regular Starter,,Balanced,13.0,,Low,,,Low,16.0,2.0,12.0,15.0,15.0,13.0,13.0,2.0,3.0,16.0,14.0,6.0,10.0,13.0,12.0,3.0,16.0,13.0,14.0,5.0,3.0,13.0,11.0,3.0,12.0,11.0,8.0,6.0,15.0,16.0,2.0,14.0,11.0,10.0,7.0,3.0,3.0,2.0,15.0,14.0,4.0,12.0,16.0,2.0,11.0,14.0,155.0,5.13,0.23,4.0,0.13,0.36,11.0,15.0,0.5,20.0,12.0,48.0,1.59,6.0,0.2,246.1,8.2,67.0,2.22,0.18,,,,0.0,2.0,3.58,47.0,1.56,30.0,12.75,39.0,1.29,0.03,32.0,1.06,0.0,0.0,0.0,22.0,13.0,48.0,1.59,6.0,0.2,32.0,1.06,86.0,1089.0,36.07,938.0,31.07,10.93,5.76,376.0,12.45,98.0,3.25,72.0,2.38,,,,,49.0,0.0,0.0,0.33,24.0,0.79,49.0,1.62,76.0,88.0,67.0,2.22,271.7,,5.02,0.17,1.05,0.3,67.0,37.0,76.0,5.0,5.0,,32.0,,,0.33,,,,,,6.6,2717.0,64.69,,15.0,8.95,0.3,0.0,,,,0.0,,2.4,,66.0,,0.76,2.19,,8.95,224.0,180.0,67.0,57.0
2025-2026,Sandro Sousa,Benfica,"DM, M (C)",,15.0,Yth,Full Contract,POR,65000.0,650000.0,5750.0,3/21/2026,6/30/2030,0.0,,,,,,,,,,,,Youngster,,Balanced,12.0,,High,,,Above Average,6.0,1.0,7.0,7.0,13.0,9.0,15.0,1.0,2.0,9.0,8.0,6.0,8.0,11.0,8.0,3.0,8.0,15.0,7.0,9.0,2.0,4.0,6.0,3.0,13.0,6.0,6.0,6.0,14.0,4.0,3.0,7.0,15.0,7.0,6.0,1.0,1.0,3.0,9.0,5.0,6.0,15.0,15.0,3.0,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-2026,Amandio Manhita,Benfica,D (C),,15.0,Yth,Full Contract,POR,3500000.0,7400000.0,5750.0,3/21/2026,6/30/2030,0.0,,,,,,,,,,,,Youngster,,Balanced,11.0,,High,,,Low,7.0,3.0,11.0,8.0,10.0,9.0,18.0,4.0,2.0,9.0,8.0,3.0,4.0,11.0,8.0,1.0,8.0,8.0,5.0,2.0,3.0,9.0,13.0,3.0,13.0,7.0,4.0,10.0,17.0,7.0,2.0,9.0,9.0,6.0,11.0,2.0,3.0,3.0,10.0,11.0,13.0,10.0,11.0,3.0,11.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
2025-2026,Faustino Marques Afonso,Benfica,M (C),,16.0,Yth,Full Contract,POR,100000.0,2400000.0,3600.0,3/20/2025,6/30/2029,0.0,,,,,,,,,,,,Youngster,,Unambitious,6.0,,Normal,,,Average,10.0,3.0,10.0,9.0,10.0,10.0,9.0,2.0,3.0,13.0,7.0,7.0,6.0,14.0,9.0,3.0,6.0,12.0,5.0,9.0,2.0,5.0,6.0,3.0,8.0,7.0,2.0,6.0,16.0,9.0,4.0,10.0,14.0,4.0,7.0,2.0,2.0,3.0,10.0,7.0,6.0,13.0,13.0,2.0,13.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-2026,Daniel Barbosa,Benfica,AM (LC),AMC,16.0,Yth,Full Contract,POR,15000000.0,24000000.0,3600.0,3/20/2025,6/30/2029,0.0,,,4.0,1.0,3.0,0.0,0.0,6.45,0.0,0.0,0.0,Youngster,,Fairly Ambitious,14.0,,Low,,,Average,11.0,2.0,9.0,10.0,14.0,8.0,10.0,2.0,1.0,10.0,8.0,9.0,9.0,10.0,13.0,1.0,11.0,15.0,18.0,13.0,3.0,11.0,5.0,2.0,6.0,10.0,6.0,6.0,12.0,14.0,2.0,10.0,16.0,7.0,9.0,3.0,1.0,2.0,12.0,5.0,6.0,10.0,15.0,4.0,9.0,14.0,7.0,3.64,,0.0,,,0.0,1.0,0.52,,50.0,2.0,1.04,1.0,0.52,14.8,7.7,2.0,1.04,0.11,,,,1.0,0.0,1.56,4.0,2.08,57.0,8.84,1.0,0.52,0.0,4.0,2.08,0.0,0.0,0.0,0.0,50.0,2.0,1.04,1.0,0.52,2.0,1.04,75.0,85.0,44.22,64.0,33.29,16.13,10.4,15.0,7.8,6.0,3.12,5.0,2.6,,,,,8.0,0.0,0.0,1.04,4.0,2.08,50.0,4.16,44.0,9.0,4.0,2.08,,,0.38,0.2,-0.86,0.45,2.0,6.0,50.0,1.0,1.0,1.0,2.0,,,,,,,,,,173.0,43.25,,,0.86,0.45,0.0,,,,0.0,,1.6,,2.0,,0.52,1.04,,0.86,22.0,19.0,3.0,3.0
2025-2026,Wellington Luis,Benfica,AM (RC),AMR,16.0,Yth,Full Contract,BRA,5800000.0,8000000.0,3600.0,3/20/2025,6/30/2029,0.0,,,6.0,2.0,4.0,0.0,1.0,6.96,0.0,0.0,0.0,Youngster,,Balanced,11.0,,Low,,,Low,14.0,1.0,7.0,14.0,10.0,10.0,8.0,2.0,2.0,11.0,7.0,8.0,9.0,13.0,12.0,1.0,9.0,13.0,14.0,8.0,1.0,6.0,9.0,2.0,9.0,7.0,3.0,4.0,10.0,11.0,2.0,12.0,12.0,7.0,7.0,1.0,3.0,2.0,10.0,5.0,6.0,8.0,15.0,4.0,12.0,11.0,21.0,4.99,0.24,2.0,0.47,,0.0,6.0,1.42,,,13.0,3.09,0.0,0.0,37.0,8.8,6.0,1.42,0.14,,,,0.0,1.0,4.51,2.0,0.47,10.0,13.77,8.0,1.9,0.0,5.0,1.19,0.0,0.0,0.0,1.0,0.0,13.0,3.09,0.0,0.0,5.0,1.19,82.0,183.0,43.46,150.0,35.62,13.54,8.79,39.0,9.26,6.0,1.42,8.0,1.9,,,,,8.0,0.0,0.0,0.47,4.0,0.95,50.0,1.9,88.0,8.0,7.0,1.66,,,0.08,0.02,-1.16,0.28,9.0,3.0,50.0,2.0,1.0,51.0,3.0,,,,,,,,,,379.0,63.17,,,1.16,0.28,0.0,,,,0.0,,1.7,,8.0,,1.42,1.9,,1.16,6.0,1.0,,
