Name,Age,Inf,RF Matches,Position,Club,Ability,Potential,Transfer Value (Low),Transfer Value (High),Hdrs A,Tck/90,Tck C,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,Apps (Total),Apps (Sub Apps),Yel,xG,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Starts,Shutouts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps (Total),Int Apps (Sub Apps),Gls/90,All/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Cln/90,Av Rat,Mins/Gl,Ast,Rec,Acc
Nicolò Zaniolo - Italian,25,Wnt,,"M (L), AM (RLC), ST (C)",Galatasaray - Turkish Super League,,,37000000.0,37000000.0,108.0,1.77,57.0,72.0,79.0,2.02,45.0,0.9,29.0,0.44,0.03,1.0,65.0,,,,,1.96,63.0,2.05,66.0,7.81,251.0,3.86,8.03,23.55,757.0,29.46,947.0,80.0,0.84,27.0,0.28,9.0,1.52,49.0,18.0,12.0,0.0,0.0,0.0,0.84,27.0,0.09,1.0,32.0,9.77,46.0,1.56,50.0,1.8,1.0,0.0,,,,0.08,2.08,67.0,5.0mi,161.6mi,0.28,9.0,1.52,49.0,18.0,18.0,0.31,10.0,2.0,0.06,0.09,3.0,0.19,3.36,33.0,0.0,9.0,5.26,,1.06,0.96,,34.0,33.0,,1.0,1.45,4.0,,0.0,,,,0.0,0.16,5.26,0.0,,87.67,2893.0,,,,6.95,1.0,4.0,3.0,0.37,,,12.0,10.0,,5.0,18.0,30.0,68.0,56.0,0.16,6.74,0.08,2.62,,7.35,241.08,6.0,- - -,15.0
- -,25,Inj,,,,,,129000000.0,182000000.0,174.0,1.89,70.0,90.0,78.0,1.84,49.0,0.89,33.0,0.73,0.0,0.0,68.0,,,,,2.67,99.0,3.13,116.0,12.01,445.0,5.37,13.47,26.42,979.0,31.6,1171.0,84.0,1.27,47.0,0.4,15.0,2.54,94.0,16.0,15.0,0.0,0.0,0.0,1.3,48.0,0.0,1.97,73.0,14.28,10.0,0.46,17.0,4.24,1.0,0.0,,,,0.13,3.64,135.0,8.0mi,298.3mi,0.43,16.0,2.64,98.0,15.0,10.0,0.7,26.0,15.0,0.4,0.27,10.0,0.27,4.7,46.0,0.0,0.0,9.08,,1.4,1.13,,52.0,46.0,,0.0,1.35,4.0,,0.0,,,,0.0,0.25,9.08,1390.0,,72.5,3335.0,,,,7.1,0.0,1.0,1.0,0.19,,,7.0,16.0,,16.0,14.0,35.0,42.0,65.0,0.25,-2.08,0.2,7.41,,7.04,476.43,10.0,- - -,18.0
- -,23,Int,,,,,,77000000.0,109000000.0,87.0,2.36,92.0,112.0,82.0,0.56,32.0,0.18,7.0,0.05,0.23,9.0,22.0,,,,,2.67,104.0,2.49,97.0,8.98,350.0,6.67,10.96,32.52,1267.0,38.35,1494.0,85.0,1.33,52.0,0.64,25.0,6.01,234.0,11.0,5.0,1.0,0.05,2.0,1.33,52.0,0.05,1.85,72.0,12.24,55.0,1.23,48.0,1.0,1.0,0.0,,,,0.1,2.49,97.0,5.6mi,216.5mi,0.64,25.0,6.03,235.0,10.0,9.0,0.87,34.0,18.0,0.46,0.44,17.0,0.31,2.23,40.0,1.0,5.0,2.31,,1.03,0.54,,40.0,39.0,,0.0,1.57,7.0,,0.0,,,,0.0,0.06,2.31,0.0,,87.65,3506.0,,,,6.8,0.0,3.0,2.0,0.05,,,2.0,14.0,,5.0,21.0,35.0,52.0,62.0,0.06,-0.31,0.3,11.68,,7.38,1753.0,12.0,- - -,15.0
- -,20,,Lluis Gonzales (2/12/2025),,,,,87000000.0,87000000.0,239.0,2.49,109.0,122.0,89.0,0.62,4.0,0.02,1.0,0.14,0.37,16.0,27.0,,,,,7.57,331.0,2.08,91.0,8.42,368.0,15.83,7.8,55.41,2422.0,61.49,2688.0,90.0,0.85,37.0,0.3,13.0,1.37,60.0,22.0,1.0,0.0,0.23,10.0,0.85,37.0,0.32,2.95,129.0,14.85,67.0,3.68,161.0,1.78,0.0,0.0,,,,0.11,1.72,75.0,7.9mi,347.2mi,0.3,13.0,1.37,60.0,21.0,,0.96,42.0,9.0,0.21,0.78,34.0,0.09,5.47,45.0,0.0,12.0,3.07,,1.53,0.82,,67.0,45.0,,2.0,2.0,3.0,,0.0,,,,0.0,0.07,3.07,,,87.42,3934.0,,,,6.82,0.0,9.0,5.0,,,,0.0,27.0,,9.0,9.0,60.0,57.0,34.0,0.07,-3.07,0.14,6.19,,7.08,,4.0,- - -,16.0
- -,22,,Francic Cagigao (3/17/2025),,,,,59000000.0,85000000.0,144.0,1.92,81.0,104.0,78.0,1.07,33.0,0.36,15.0,0.45,0.14,6.0,45.0,,,,,5.76,243.0,2.8,118.0,10.99,464.0,12.34,4.81,48.99,2068.0,54.96,2320.0,89.0,0.95,40.0,0.02,1.0,0.38,16.0,6.0,1.0,1.0,0.02,1.0,1.11,47.0,0.26,2.06,87.0,12.67,55.0,1.87,79.0,1.54,1.0,3.0,,,,0.1,1.23,52.0,8.3mi,352.3mi,0.02,1.0,0.38,16.0,6.0,9.0,0.78,33.0,18.0,0.43,0.54,23.0,0.24,3.41,44.0,0.0,5.0,4.61,,1.26,0.95,,53.0,44.0,,0.0,1.57,4.0,,0.0,,,,0.0,0.11,4.61,259.0,,86.34,3799.0,,,,,,,,0.09,,,4.0,20.0,,15.0,9.0,45.0,43.0,30.0,0.11,-0.61,0.21,8.66,,7.07,949.75,10.0,- - -,13.0
- -,22,Int,,,,,,161000000.0,192000000.0,171.0,2.08,83.0,108.0,77.0,1.12,22.0,0.25,10.0,0.47,0.28,11.0,45.0,,,,,5.03,201.0,2.8,112.0,10.0,400.0,12.55,5.67,47.95,1918.0,53.55,2142.0,90.0,1.25,50.0,0.03,1.0,0.5,20.0,5.0,1.0,1.0,0.05,2.0,1.25,50.0,0.5,1.73,69.0,16.23,48.0,2.05,82.0,2.23,1.0,0.0,,,,0.11,1.05,42.0,8.6mi,342.8mi,0.03,1.0,0.5,20.0,5.0,7.0,0.93,37.0,15.0,0.38,0.62,25.0,0.23,4.28,45.0,0.0,4.0,5.11,,1.35,1.02,,54.0,45.0,,0.0,1.71,2.0,,0.0,,,,0.0,0.13,5.11,893.0,,80.0,3600.0,,,,7.2,4.0,7.0,0.0,0.07,,,3.0,22.0,,12.0,11.0,49.0,40.0,43.0,0.13,-2.11,0.25,9.84,,7.06,1200.0,9.0,- - -,15.0
- -,23,Wnt,,,,,,45000000.0,71000000.0,15.0,1.07,31.0,54.0,57.0,1.72,42.0,0.72,21.0,0.07,0.0,0.0,50.0,,,,,0.14,4.0,0.28,8.0,1.1,32.0,0.38,0.96,15.02,437.0,20.59,599.0,73.0,0.14,4.0,0.03,1.0,0.24,7.0,14.0,3.0,0.0,0.0,0.0,0.14,4.0,0.0,0.1,3.0,1.03,67.0,0.34,10.0,0.17,0.0,0.0,,,,0.09,0.34,10.0,0.5mi,14.8mi,0.03,1.0,0.24,7.0,14.0,2.0,0.0,0.0,0.0,,,0.0,0.21,0.52,30.0,0.0,0.0,4.26,,0.07,0.07,,2.0,30.0,,0.0,1.03,1.0,,0.0,,,,0.0,0.15,4.26,0.0,,87.27,2618.0,,,,7.1,0.0,5.0,0.0,0.03,,,1.0,1.0,,1.0,28.0,3.0,28.0,41.0,0.15,-3.26,0.04,1.17,,7.22,2618.0,6.0,- - -,17.0
- -,29,Int,,,,,,98000000.0,116000000.0,163.0,2.15,82.0,111.0,74.0,0.76,28.0,0.21,8.0,0.29,0.47,18.0,29.0,,,,,4.67,178.0,3.01,115.0,9.91,378.0,15.7,4.51,48.93,1867.0,54.75,2089.0,89.0,0.76,29.0,0.05,2.0,0.29,11.0,18.0,4.0,0.0,0.13,5.0,0.76,29.0,0.42,1.7,65.0,11.79,59.0,2.52,96.0,1.76,1.0,0.0,,,,0.09,0.76,29.0,8.1mi,308.6mi,0.05,2.0,0.29,11.0,18.0,14.0,0.66,25.0,11.0,0.29,0.42,16.0,0.13,4.27,42.0,1.0,12.0,2.69,,0.92,1.34,,35.0,41.0,,0.0,1.33,0.0,,0.0,,,,0.0,0.07,2.69,875.0,,81.76,3434.0,,,,7.08,3.0,10.0,4.0,0.1,,,4.0,16.0,,18.0,8.0,38.0,64.0,33.0,0.07,1.31,0.24,9.06,,7.0,858.5,5.0,- - -,11.0
- -,24,Req,6 Focuses,,,,,76000000.0,76000000.0,273.0,1.26,58.0,69.0,84.0,0.35,25.0,0.09,4.0,0.07,0.93,43.0,16.0,,,,,4.48,206.0,1.02,47.0,2.83,130.0,13.28,2.61,64.91,2986.0,70.7,3252.0,92.0,0.26,12.0,0.02,1.0,0.13,6.0,17.0,1.0,1.0,0.33,15.0,0.26,12.0,0.76,1.89,87.0,5.7,71.0,4.22,194.0,1.72,0.0,0.0,,,,0.07,0.15,7.0,7.2mi,330.8mi,0.02,1.0,0.13,6.0,16.0,13.0,1.0,46.0,2.0,0.04,0.52,24.0,0.02,5.93,45.0,0.0,9.0,1.18,,1.07,1.46,,49.0,45.0,,0.0,1.11,2.0,,0.0,,,,0.0,0.03,1.18,195.0,,92.0,4140.0,,,,6.9,0.0,6.0,0.0,0.04,,,2.0,14.0,,23.0,8.0,31.0,27.0,18.0,0.03,0.82,0.01,0.66,,6.98,2070.0,1.0,- - -,16.0
- -,20,,,,,,,22000000.0,22000000.0,62.0,2.03,68.0,99.0,69.0,2.96,40.0,1.19,40.0,0.66,0.0,0.0,99.0,,,,,0.9,30.0,1.34,45.0,5.85,196.0,2.72,4.78,21.82,731.0,27.34,916.0,80.0,0.51,17.0,0.21,7.0,1.28,43.0,16.0,10.0,0.0,0.0,0.0,1.07,36.0,0.0,0.45,15.0,7.28,18.0,0.33,11.0,1.52,2.0,2.0,,,,0.1,1.49,50.0,3.4mi,115.0mi,0.6,20.0,3.82,128.0,16.0,9.0,0.27,9.0,4.0,0.12,0.21,7.0,0.3,1.85,35.0,0.0,0.0,10.16,,0.81,0.39,,27.0,35.0,,0.0,1.46,5.0,100.0,1.0,,,,1.0,0.3,10.16,0.0,,86.14,3015.0,,,,,,,,0.27,,,9.0,10.0,,4.0,21.0,29.0,39.0,44.0,0.3,-1.16,0.09,2.93,,7.74,335.0,10.0,- - -,16.0
- -,25,Int,,,,,,131000000.0,154000000.0,154.0,3.06,129.0,162.0,80.0,0.71,23.0,0.17,7.0,0.36,0.43,18.0,30.0,,,,,7.14,301.0,2.35,99.0,9.42,397.0,12.88,13.52,52.77,2225.0,59.5,2509.0,89.0,0.76,32.0,0.19,8.0,1.66,70.0,16.0,0.0,0.0,0.12,5.0,0.97,41.0,0.14,2.44,103.0,16.29,46.0,1.68,71.0,1.97,1.0,0.0,,,,0.12,2.42,102.0,8.1mi,342.6mi,0.92,39.0,5.74,242.0,11.0,3.0,0.88,37.0,8.0,0.19,0.57,24.0,0.21,3.65,44.0,0.0,20.0,3.46,,1.42,1.09,,60.0,44.0,,0.0,1.68,1.0,,0.0,,,,0.0,0.08,3.46,1957.0,,86.25,3795.0,,,,6.9,1.0,6.0,1.0,0.02,,,1.0,22.0,,14.0,8.0,50.0,78.0,41.0,0.08,-2.46,0.19,7.82,,6.97,3795.0,9.0,- - -,16.0
- -,26,,,,,,,81000000.0,118000000.0,81.0,1.8,73.0,95.0,77.0,0.99,30.0,0.3,12.0,0.3,0.07,3.0,40.0,,,,,4.15,168.0,1.56,63.0,6.42,260.0,6.25,4.74,43.12,1746.0,48.53,1965.0,89.0,0.77,31.0,0.05,2.0,0.22,9.0,22.0,0.0,0.0,0.0,0.0,0.77,31.0,0.12,1.23,50.0,7.85,49.0,0.99,40.0,1.01,1.0,0.0,,,,0.1,0.72,29.0,5.4mi,216.7mi,0.05,2.0,0.22,9.0,22.0,5.0,0.44,18.0,8.0,0.2,0.35,14.0,0.2,2.0,45.0,4.0,3.0,4.04,,0.89,0.57,,36.0,41.0,,0.0,1.51,2.0,,0.0,,,,0.0,0.1,4.04,0.0,,80.98,3644.0,,,,,,,,0.05,,,2.0,16.0,,9.0,20.0,36.0,42.0,51.0,0.1,-2.04,0.11,4.56,,7.12,1822.0,8.0,- - -,13.0
- -,22,Int,Ricardo Camacho (3/15/2025),,,,,54000000.0,66000000.0,0.0,0.98,16.0,20.0,80.0,1.77,38.0,0.67,11.0,0.0,0.0,0.0,29.0,,,,,0.0,0.0,0.0,0.0,0.12,2.0,0.12,0.18,15.2,249.0,21.43,351.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.06,1.0,0.18,,,,,0.0,0.0,,,,0.2,0.06,1.0,0.1mi,1.8mi,0.0,0.0,0.0,0.0,,14.0,0.0,0.0,0.0,,,0.0,0.24,,19.0,3.0,0.0,5.68,,0.0,0.0,,0.0,16.0,,1.0,1.21,0.0,100.0,2.0,,,,2.0,0.25,4.08,0.0,,77.58,1474.0,,,,7.63,1.0,7.0,2.0,0.24,,,4.0,2.0,,0.0,17.0,11.0,14.0,36.0,0.35,-1.68,0.11,1.77,,7.35,368.5,4.0,- - -,15.0
- -,24,,,,,,,56000000.0,85000000.0,231.0,1.35,44.0,55.0,80.0,3.28,53.0,1.75,57.0,0.86,0.03,1.0,107.0,,,,,0.74,24.0,1.41,46.0,5.12,167.0,2.09,11.93,18.31,597.0,23.07,752.0,79.0,0.49,16.0,0.06,2.0,0.37,12.0,17.0,22.0,0.0,0.0,0.0,0.49,16.0,0.18,0.4,13.0,5.0,47.0,3.31,108.0,3.77,2.0,0.0,,,,0.14,0.83,27.0,5.8mi,188.2mi,0.06,2.0,0.37,12.0,16.0,10.0,0.21,7.0,5.0,0.15,0.12,4.0,0.09,7.09,34.0,1.0,0.0,14.55,,1.01,0.89,,33.0,33.0,,0.0,1.32,0.0,50.0,1.0,,,,2.0,0.42,13.76,0.0,,86.29,2934.0,,,,6.6,0.0,2.0,0.0,0.34,,,11.0,9.0,,7.0,18.0,26.0,28.0,85.0,0.45,-3.55,0.09,3.05,,6.92,266.73,3.0,- - -,14.0
