Season,Name,Club,Position,Position Selected,Age,Inf,Type,Nat,Transfer Value (Low),Transfer Value (High),Salary,Begins,Expires,Transfer Fees Received,Apps (Total),Apps (Sub Apps),Starts,Gls,Ast,Av Rat,Yel,Red,PoM,Agreed Playing Time,Home Grown Status,Personality,Det,Injury,Injury Risk,Int Apps (Total),Int Apps (Sub Apps),Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Natural Fitness,Off The Ball,One on Ones,Pace,Passing,Penalty Taking,Positioning,Punching (Tendency),Reflexes,Rushing Out (Tendency),Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate
2024-25,Jeremy de León,R. Madrid B,AM (RLC),,21,Unr,Full Contract,PUR,60000.0,600000.0,86500.0,7/10/2023,6/30/2027,0.0,11.0,9.0,2.0,0.0,0.0,6.83,1.0,0.0,0.0,Youngster,Trained in nation (15-21),,7-10,,Low,3.0,0.0,13.0,1-4,3-7,13-17,8-12,6-9,5-8,1-5,1-4,5-8,8-11,6-9,9-13,10-14,12-16,3-6,11.0,14.0,15-18,7-10,1-4,4.0,5.0,2-6,7-11,9.0,3-6,4-7,11-15,12-16,1-4,15.0,11.0,5-9,5-8,1-4,1-2,3-6,8-12,6.0,4-7,8-11,14.0,1-4,8-11,11-15
2024-25,Andrés Campos,R. Madrid B,AM (L),,23,Unr,Full Contract,ESP,0.0,4500.0,16000.0,8/31/2022,6/30/2025,0.0,14.0,14.0,,1.0,0.0,6.77,0.0,0.0,0.0,Scouting Required,Trained in nation (15-21),,8-12,,Increased,,,9-15,3-7,6-12,10-16,6-12,7-11,7-11,2-6,1-5,8-12,9-13,6-10,8-14,7-11,11-17,1-4,6-10,9-13,10-14,2-6,1-5,7-11,6-10,1-6,4-10,6-10,3-7,5-9,9-15,7-13,1-5,13-17,8-14,6-12,3-7,1-5,1-2,2-6,8-12,5-9,4-8,11-15,7-11,1-4,9-13,5-9
2024-25,Reinier,R. Madrid,AM (RLC),S12,23,,Full Contract,BRA,11000000.0,15500000.0,462000.0,1/21/2020,6/30/2026,33500000.0,4.0,3.0,1.0,1.0,0.0,7.1,0.0,0.0,0.0,Fringe Player,Trained in nation (15-21),Balanced,13.0,,,,,13.0,1.0,10.0,15.0,13.0,14.0,13.0,3.0,3.0,13.0,13.0,12.0,12.0,12.0,16.0,1.0,11.0,15.0,15.0,12.0,2.0,12.0,13.0,1.0,11.0,13.0,3.0,7.0,15.0,12.0,3.0,14.0,16.0,13.0,10.0,2.0,3.0,3.0,13.0,14.0,7.0,13.0,16.0,1.0,14.0,13.0
2024-25,Carlos André,R. Madrid,AM (C),,16,Inj,Full Contract,BRA,Unknown,Unknown,3600.0,3/29/2024,6/30/2028,0.0,,,,,,,,,,Scouting Required,,,10-20,A double hernia,,,,12-20,,13-20,,,,,,,,,,,,6-14,,9-15,8-18,3-11,,,3-9,5-13,,,1-8,,,,4-12,,7-13,11-19,,,,,,2-12,3-13,,,4-14,,9-15,1-11
2024-25,Sergio Triguero,R. Madrid,AM (C),,17,Yth,Full Contract,ESP,Unknown,Unknown,3600.0,3/29/2024,6/30/2028,0.0,,,,,,,,,,Scouting Required,Trained at club (15-21),,14-20,,,,,2-12,,4-14,,,,,,,,,,,,7-17,,3-11,6-12,12-18,,,4-12,8-14,,,4-12,,,,10-20,,10-18,6-16,,,,,,5-13,3-9,,,10-18,,12-20,3-11
2024-25,Bartłomiej Wolny,R. Madrid,AM (R),,16,Unr,Full Contract,USA,Unknown,Unknown,3600.0,3/29/2025,6/30/2029,0.0,,,,,,,,,,Scouting Required,,,14-20,,,,,4-10,,7-13,,,,,,,,,,,,7-13,,3-13,15-20,10-18,,,4-14,1-8,,,1-8,,,,9-15,,8-18,6-12,,,,,,3-11,5-13,,,7-15,,8-18,2-10
2024-25,Luis Alfaro,R. Madrid,AM (R),,15,Unr,Full Contract,CRC,Unknown,Unknown,3600.0,3/29/2025,6/30/2029,0.0,,,,,,,,,,Scouting Required,,,11-20,,High,,,8-16,,14-20,,,,,,,,,,,,4-12,,4-10,8-18,5-13,,,12-18,4-12,,,5-15,,,,5-13,,8-14,11-19,,,,,,3-13,6-16,,,6-16,,11-17,8-18
2024-25,Daniel Yáñez,R. Madrid C,"M (R), AM (RLC), ST (C)",,18,Unr,Full Contract,ESP,150000.0,150000.0,19500.0,7/11/2022,6/30/2026,0.0,12.0,10.0,2.0,0.0,1.0,6.89,1.0,0.0,0.0,Youngster,Trained at club (15-21),Fairly Determined,15.0,,Low,,,14.0,1.0,10.0,16.0,7.0,6.0,7.0,3.0,3.0,11.0,4.0,6.0,10.0,12.0,11.0,1.0,8.0,10.0,13.0,4.0,3.0,5.0,4.0,3.0,5.0,6.0,3.0,3.0,17.0,7.0,1.0,12.0,11.0,7.0,3.0,3.0,2.0,3.0,13.0,6.0,4.0,6.0,13.0,1.0,7.0,11.0
2024-25,Erik Vázquez,R. Madrid C,"M (R), AM (RL)",,19,Unr,Full Contract,ESP,200000.0,650000.0,51000.0,6/4/2024,6/30/2025,0.0,34.0,5.0,29.0,4.0,5.0,6.98,3.0,0.0,3.0,Scouting Required,Trained in nation (15-21),,8-13,,Increased,,,14.0,1-3,10-14,11-15,8-12,5-11,1-5,1-5,1-3,7-12,6-11,8-13,8-12,12-16,13-17,1-5,9-15,14.0,13-18,2-8,1-3,7.0,4.0,1-5,3-7,6-10,1-2,6-11,8-12,9-13,1-6,14.0,6-10,5-9,3-9,1-5,1-6,1-3,6-10,2-7,3-7,4-8,11-15,1-2,6-10,8-12
2024-25,César Palacios,R. Madrid B,"M (C), AM (LC), ST (C)",,20,Unr,Full Contract,ESP,12000000.0,19000000.0,86500.0,12/12/2022,6/30/2027,0.0,18.0,0.0,18.0,3.0,1.0,6.91,2.0,0.0,1.0,Breakthrough Prospect,Trained at club (15-21),,10-14,,Increased,,,14.0,1-4,6-12,9-13,9-13,8-12,9-13,1-6,1.0,9-13,9-13,9-13,8-14,10-15,10-14,3-7,9.0,14.0,15-19,10-14,1-5,9.0,10.0,1-3,9-15,9.0,3-7,9-13,6-12,12-16,3-7,14.0,13.0,6-10,9-13,3-8,1-5,1-4,11-16,8.0,4-9,6-11,13.0,1-2,11-16,9-14
2024-25,Borja,R. Madrid B,"M (C), AM (LC)",,21,Unr,Full Contract,ESP,550000.0,550000.0,47500.0,6/24/2022,6/30/2026,0.0,18.0,3.0,15.0,1.0,3.0,7.13,0.0,0.0,3.0,Youngster,Trained at club (15-21),Balanced,4.0,,Increased,,,13.0,1.0,8.0,11.0,12.0,13.0,7.0,2.0,4.0,9.0,8.0,3.0,9.0,10.0,14.0,2.0,11.0,13.0,15.0,10.0,1.0,5.0,5.0,1.0,3.0,9.0,3.0,7.0,8.0,12.0,2.0,12.0,7.0,5.0,9.0,3.0,3.0,1.0,10.0,8.0,9.0,8.0,13.0,1.0,14.0,9.0
2024-25,Nico Paz,R. Madrid B,"M (RLC), AM (RL)",,20,Unr,Full Contract,ARG,15500000.0,19000000.0,145000.0,7/1/2023,6/30/2027,0.0,12.0,1.0,11.0,3.0,1.0,6.78,0.0,0.0,1.0,Breakthrough Prospect,Trained at club (15-21),Balanced,3.0,,Increased,,,13.0,3.0,10.0,16.0,12.0,12.0,11.0,1.0,2.0,7.0,11.0,10.0,14.0,11.0,13.0,3.0,11.0,13.0,14.0,9.0,1.0,10.0,9.0,2.0,2.0,7.0,11.0,10.0,10.0,12.0,3.0,12.0,14.0,8.0,10.0,3.0,3.0,1.0,10.0,8.0,11.0,11.0,12.0,2.0,13.0,12.0
2024-25,Manuel Ángel,R. Madrid B,"M (C), AM (LC)",,21,Unr,Full Contract,ESP,28000.0,275000.0,62500.0,7/1/2021,6/30/2025,0.0,6.0,6.0,,2.0,0.0,7.17,0.0,0.0,0.0,Youngster,Trained at club (15-21),Balanced,4.0,,Low,,,13.0,2.0,8.0,13.0,11.0,10.0,4.0,1.0,1.0,12.0,9.0,8.0,9.0,14.0,13.0,3.0,12.0,12.0,15.0,8.0,2.0,7.0,4.0,3.0,10.0,8.0,4.0,5.0,16.0,10.0,3.0,13.0,13.0,9.0,8.0,1.0,1.0,1.0,12.0,10.0,9.0,9.0,13.0,2.0,13.0,11.0
2024-25,Gonzalo,R. Madrid,"M (R), AM (RL), ST (C)",S15,21,Wnt,Full Contract,ESP,375000.0,1100000.0,79500.0,7/11/2022,6/30/2025,0.0,,,,,,,,,,Youngster,Trained at club (15-21),Balanced,12.0,,,,,14.0,2.0,13.0,12.0,14.0,12.0,9.0,2.0,3.0,10.0,10.0,7.0,9.0,13.0,14.0,3.0,13.0,12.0,15.0,6.0,4.0,11.0,12.0,3.0,3.0,11.0,6.0,6.0,14.0,12.0,3.0,14.0,11.0,3.0,9.0,3.0,1.0,3.0,8.0,9.0,7.0,9.0,13.0,1.0,13.0,9.0
2024-25,Álvaro Leiva,R. Madrid B,"M (L), AM (RLC)",,20,Unr,Full Contract,ESP,2100000.0,2100000.0,86500.0,7/15/2022,6/30/2027,0.0,11.0,2.0,9.0,1.0,4.0,7.08,1.0,0.0,1.0,Youngster,Trained in nation (15-21),Balanced,4.0,,Increased,,,13.0,2.0,12.0,14.0,9.0,13.0,11.0,4.0,2.0,11.0,9.0,6.0,10.0,11.0,16.0,2.0,12.0,13.0,12.0,6.0,2.0,9.0,8.0,1.0,10.0,10.0,8.0,4.0,11.0,12.0,2.0,13.0,12.0,6.0,5.0,3.0,2.0,2.0,12.0,8.0,6.0,11.0,14.0,4.0,12.0,9.0
2024-25,Bruno Iglesias,R. Madrid B,"M (C), AM (RLC)",,22,Unr,Full Contract,ESP,50000.0,500000.0,620000.0,10/7/2024,6/30/2026,0.0,28.0,8.0,20.0,2.0,2.0,6.63,0.0,0.0,0.0,Fringe Player,Trained at club (15-21),Fairly Determined,16.0,,Increased,,,11.0,1.0,8.0,10.0,12.0,12.0,9.0,2.0,2.0,12.0,12.0,10.0,8.0,11.0,13.0,3.0,9.0,13.0,17.0,14.0,1.0,8.0,12.0,1.0,9.0,10.0,2.0,3.0,11.0,12.0,3.0,12.0,12.0,4.0,11.0,4.0,1.0,3.0,12.0,10.0,3.0,9.0,13.0,2.0,12.0,9.0
2024-25,Peter,R. Madrid B,"M (R), AM (RL)",,22,Unr,Full Contract,ESP,325000.0,900000.0,228000.0,7/26/2022,6/30/2025,0.0,34.0,0.0,34.0,9.0,3.0,7.28,0.0,0.0,8.0,Breakthrough Prospect,Trained at club (15-21),Fairly Determined,15.0,,Low,,,14.0,1.0,12.0,15.0,13.0,13.0,10.0,2.0,4.0,10.0,13.0,12.0,12.0,12.0,12.0,1.0,11.0,13.0,13.0,10.0,1.0,7.0,9.0,3.0,9.0,10.0,9.0,7.0,15.0,15.0,3.0,14.0,12.0,7.0,9.0,3.0,2.0,2.0,13.0,11.0,6.0,10.0,13.0,1.0,13.0,12.0
2024-25,Rodrygo,R. Madrid,"M (R), AM (RL), ST (C)",STCL,24,Trv,Full Contract,BRA,240000000.0,261000000.0,25031000.0,1/26/2025,6/30/2029,49500000.0,46.0,0.0,46.0,27.0,5.0,7.28,0.0,0.0,4.0,Regular Starter,Trained at club (15-21),Fairly Professional,14.0,,,9.0,1.0,15.0,3.0,11.0,18.0,15.0,16.0,14.0,3.0,1.0,16.0,15.0,11.0,13.0,16.0,18.0,1.0,17.0,15.0,16.0,15.0,1.0,12.0,9.0,2.0,12.0,14.0,8.0,6.0,12.0,17.0,2.0,16.0,16.0,12.0,10.0,3.0,2.0,2.0,15.0,14.0,6.0,13.0,15.0,1.0,13.0,15.0
2024-25,Vinícius Júnior,R. Madrid,"M (L), AM (RL), ST (C)",STCR,24,Trv,Full Contract,BRA,231000000.0,276000000.0,27344000.0,2/4/2025,6/30/2029,49500000.0,48.0,0.0,48.0,24.0,8.0,7.18,4.0,3.0,1.0,Important Player,Trained at club (15-21),Perfectionist,20.0,,,7.0,0.0,19.0,1.0,17.0,17.0,16.0,16.0,17.0,3.0,2.0,15.0,12.0,7.0,14.0,16.0,19.0,4.0,16.0,14.0,16.0,9.0,1.0,12.0,8.0,3.0,14.0,12.0,4.0,4.0,15.0,17.0,3.0,18.0,15.0,12.0,9.0,1.0,2.0,2.0,16.0,12.0,6.0,13.0,16.0,3.0,15.0,14.0
2024-25,Paulo Iago,R. Madrid C,M/AM (C),,18,Unr,Full Contract,ESP,300000.0,850000.0,843000.0,1/15/2024,6/30/2026,0.0,13.0,9.0,4.0,1.0,0.0,6.71,0.0,0.0,0.0,Future Prospect,Trained at club (15-21),Balanced,5.0,,Increased,,,8.0,3.0,15.0,13.0,8.0,11.0,9.0,2.0,1.0,14.0,8.0,7.0,8.0,15.0,16.0,2.0,10.0,15.0,14.0,7.0,1.0,9.0,8.0,3.0,7.0,9.0,2.0,9.0,10.0,11.0,1.0,8.0,10.0,3.0,8.0,2.0,1.0,1.0,7.0,8.0,9.0,7.0,16.0,3.0,14.0,10.0
2024-25,Aimar,R. Madrid C,M/AM (C),,18,Unr,Full Contract,ESP,75000.0,750000.0,16000.0,1/25/2023,6/30/2025,0.0,34.0,11.0,23.0,0.0,5.0,6.87,2.0,0.0,1.0,Youngster,Trained in nation (15-21),Balanced,14.0,,Increased,,,10.0,2.0,7.0,11.0,9.0,10.0,8.0,3.0,1.0,8.0,9.0,7.0,8.0,17.0,13.0,1.0,14.0,16.0,10.0,6.0,3.0,8.0,8.0,1.0,5.0,10.0,1.0,9.0,10.0,13.0,1.0,10.0,12.0,4.0,9.0,3.0,2.0,3.0,6.0,9.0,9.0,13.0,11.0,2.0,16.0,10.0
2024-25,Samu Expósito,R. Madrid C,M/AM (C),,20,Unr,Full Contract,ESP,24000.0,80000.0,16000.0,7/1/2023,6/30/2025,0.0,4.0,1.0,3.0,0.0,0.0,6.85,1.0,0.0,0.0,Scouting Required,Trained in nation (15-21),,5-10,,Increased,,,7-14,4-9,9-16,12-19,8-15,2-7,2-7,1-6,1-4,6-11,6-11,6-11,1-5,8-14,5-12,1-4,3-8,7-12,12-17,1-4,1-6,6-11,1-4,1-6,6-13,5-11,1-3,5-10,8-15,9-16,1-6,13-18,4-11,2-9,4-9,1-6,1-3,3-8,6-12,1-6,8-13,7-12,10-16,1-3,11-16,8-14
2024-25,Arda Güler,R. Madrid,"M (C), AM (RC)",,20,Int,Full Contract,TUR,83000000.0,101000000.0,5769000.0,7/6/2023,6/30/2029,21500000.0,41.0,25.0,16.0,3.0,8.0,7.0,1.0,0.0,0.0,Breakthrough Prospect,,,13-19,,,2.0,1.0,14.0,1-2,13-17,12-17,11-16,13-18,9-14,1-5,1-5,12-18,10-14,12-16,14-18,15-19,11-16,1-2,12.0,16.0,13-17,14-19,1-4,12.0,6.0,1-4,12-16,16.0,5-11,7-11,14-18,8-13,1-3,11.0,16.0,11-16,7-12,2-6,1-5,1-2,13-17,8.0,4-8,12-16,18.0,1-6,13-17,13-17
2024-25,Dani Ceballos,R. Madrid,M/AM (C),S9,28,,Full Contract,ESP,37000000.0,57000000.0,11111000.0,6/23/2023,6/30/2027,22000000.0,24.0,17.0,7.0,1.0,2.0,6.92,1.0,0.0,1.0,Squad Player,Trained in nation (15-21),Balanced,11.0,,,4.0,3.0,14.0,1-3,13.0,14-17,12-15,13-15,13-15,3-5,2-4,12-14,13-15,11-13,13.0,13-15,15.0,2-4,13.0,16.0,14.0,10-12,1-2,7.0,8.0,1-4,10.0,13.0,11-13,7-9,11.0,13-16,2-4,14.0,17.0,9-12,13.0,1-2,1-3,3-5,13.0,10.0,12.0,14.0,16.0,1-3,16.0,12.0
2024-25,Brahim Díaz,R. Madrid,"M (C), AM (RC)",AMC,25,,Full Contract,MAR,52000000.0,65000000.0,7799000.0,7/12/2021,6/30/2027,15250000.0,47.0,4.0,43.0,13.0,14.0,7.18,2.0,0.0,3.0,Squad Player,,Resolute,17.0,,,4.0,0.0,16.0,1.0,9.0,16.0,14.0,13.0,14.0,1.0,2.0,14.0,14.0,12.0,12.0,12.0,16.0,2.0,13.0,15.0,15.0,9.0,3.0,6.0,7.0,3.0,9.0,12.0,7.0,7.0,13.0,15.0,3.0,14.0,15.0,12.0,9.0,2.0,2.0,3.0,12.0,6.0,8.0,14.0,16.0,3.0,15.0,14.0
2024-25,Manu Márquez,R. Madrid C,M/AM (R),,21,Unr,Full Contract,ESP,35000.0,110000.0,16000.0,7/1/2023,6/30/2025,0.0,2.0,0.0,2.0,0.0,1.0,6.95,2.0,0.0,0.0,Scouting Required,Trained in nation (15-21),,3-7,,Low,,,9-15,1-5,8-14,11-17,7-13,10-14,4-8,1-5,1-3,9-13,5-9,8-12,8-14,8-12,9-15,1-4,4-8,10-14,12-16,1-5,1-4,6-10,3-7,1-5,1-7,5-9,4-8,6-10,12-18,8-14,1-3,12-16,4-10,1-5,2-6,1-3,1-2,3-7,6-10,4-8,4-8,7-11,10-14,1-3,10-14,2-6
2024-25,Beto,R. Madrid,M (C),,18,,Full Contract,ESP,Unknown,Unknown,19500.0,7/11/2022,6/30/2026,0.0,,,,,,,,,,Scouting Required,Trained at club (15-21),,,,,,,9-18,,9-18,,,,,,,,,,,,,,9-16,13-19,6-15,,,2-10,2-11,,9-18,3-9,,,,,,6-14,11-20,,,,,,7-13,5-11,6-14,4-12,10-16,,6-14,6-12
2024-25,Thiago,R. Madrid,M (C),,17,Yth,Full Contract,ESP,Unknown,Unknown,3600.0,7/11/2022,6/30/2028,0.0,,,,,,,,,,Scouting Required,Trained at club (15-21),,,,,,,8-16,,8-16,,,,,,,,,,,,,,4-10,3-11,13-20,,,1-3,11-19,,5-13,5-15,,,,,,1-11,10-18,,,,,,7-17,1-7,1-8,1-10,10-20,,6-16,10-20
2024-25,Javi Mena,R. Madrid,M (C),,18,,Full Contract,ESP,Unknown,Unknown,19500.0,7/1/2023,6/30/2026,0.0,,,,,,,,,,Scouting Required,Trained in nation (15-21),,,,,,,8-17,,13-20,,,,,,,,,,,,,,4-11,13-19,1-9,,,2-10,1-8,,8-17,7-13,,,,,,8-16,11-20,,,,,,6-12,7-13,9-17,4-12,6-12,,4-12,8-14
2024-25,José,R. Madrid,"DM, M/AM (RL)",,17,Yth,Full Contract,ESP,300000.0,300000.0,3600.0,7/11/2022,6/30/2028,0.0,,,,,,,,,,Breakthrough Prospect,,Balanced,7.0,,,,,13.0,3.0,15.0,10.0,7.0,14.0,7.0,3.0,2.0,10.0,5.0,2.0,8.0,6.0,15.0,3.0,11.0,12.0,13.0,1.0,2.0,6.0,8.0,1.0,5.0,10.0,4.0,3.0,8.0,10.0,3.0,13.0,13.0,4.0,3.0,2.0,3.0,3.0,10.0,6.0,5.0,8.0,8.0,1.0,5.0,11.0
2024-25,José Manuel Blanco,R. Madrid,"DM, M (C)",,16,Int,Full Contract,ESP,Unknown,Unknown,1124000.0,12/1/2024,6/30/2027,0.0,,,,,,,,,,Scouting Required,,,,,Low,,,8-18,,7-17,,,,,,,,,,,,,,8-16,12-18,1-7,,,9-17,1-11,,7-17,4-10,,,,,,6-14,13-20,,,,,,6-12,6-12,6-14,10-18,11-17,,8-16,7-13
