Season,Name,Club,Position,Position Selected,Age,Inf,Type,Nat,Transfer Value (Low),Transfer Value (High),Salary,Begins,Expires,Transfer Fees Received,Apps (Total),Apps (Sub Apps),Starts,Gls,Ast,Av Rat,Yel,Red,PoM,Agreed Playing Time,Home Grown Status,Personality,Det,Injury,Injury Risk,Int Apps (Total),Int Apps (Sub Apps),Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Natural Fitness,Off The Ball,One on Ones,Pace,Passing,Penalty Taking,Positioning,Punching (Tendency),Reflexes,Rushing Out (Tendency),Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate,Hdrs A,Aer A/90,Asts/90,Blk,Blk/90,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,FK Shots,Goals Outside Box,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,K Hdrs/90,K Pas,K Ps/90,K Tck,K Tck/90,Gl Mst,Off,OP-Cr %,OP-Crs A,OP-Crs A/90,OP-Crs C,OP-Crs C/90,OP-KP,OP-KP/90,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck C,Tck/90,Mins/Gl,Cln/90,xA,xA/90,xG-OP,xG/90,FA,Fls,Gwin,D,Lost,G. Mis,Won,Conc,All/90,Gls/90,Int Ast,Int Av Rat,Int Conc,Last 5 FT Games,Last 5 Games,LMR,Mins,Mins/Gm,Last C,Last Gl,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Pts/Gm,Shutouts,Tgls,Tall,Tcon/90,Tgls/90,Saves/90,xG,AT Apps,AT Lge Apps,AT Gls,AT Lge Gls
2027-2028,Youssef En-Nesyri,R. Madrid,"AM (L), ST (C)",S13,30,Wnt,Full Contract,MAR,47000000.0,67000000.0,9719000.0,1/28/2027,6/30/2030,80000000.0,35.0,21.0,14.0,15,0,7.2,2,0,2,Squad Player,Trained in nation (15-21),Fairly Ambitious,13.0,,Normal,,,15.0,1.0,9.0,14.0,15.0,13.0,15.0,3.0,2.0,15.0,13.0,9.0,11.0,12.0,12.0,1.0,14.0,13,13.0,8.0,1.0,14.0,16.0,1.0,13.0,12.0,6.0,5.0,15.0,16.0,2.0,14.0,12,11.0,6.0,3.0,2.0,2.0,13.0,13,5.0,12.0,13.0,1.0,11.0,15.0,136.0,8.11,,1.0,0.06,0.3,5,4.0,0.24,18.0,11.0,9.0,0.54,1.0,0.06,123.3,7.4,16,0.95,0.18,,,,1.0,2.0,4.17,66.0,3.94,49.0,6.38,18,1.07,0.12,12,0.72,0,0.0,0,12,11.0,9.0,0.54,1.0,0.06,12,0.72,86.0,405,24.16,349,20.82,19.15,1.79,113,6.74,27,1.61,14,0.83,,,,,83,0.0,0.0,1.49,49.0,2.92,59.0,4.95,67.0,24,16,0.95,100.6,,1.93,0.12,0.31,0.88,35,16,80.0,2,5,2.0,28,,,0.89,,,,,,,1509,43.11,,62.0,14.69,0.88,0,,,,0,,2.46,,39,,0.78,2.33,,14.69,332,316,120.0,117.0
2027-2028,Eduardo Camavinga,R. Madrid,"D (L), DM, M (C)",,25,,Full Contract,FRA,247000000.0,271000000.0,27959000.0,7/13/2026,6/30/2031,33500000.0,49.0,2.0,47.0,8,4,7.31,5,0,2,Important Player,Trained at club (15-21),Spirited,15.0,,Normal,7.0,0.0,16.0,3.0,15.0,15.0,18.0,16.0,15.0,1.0,1.0,15.0,15.0,6.0,12.0,15.0,12.0,2.0,12.0,16,12.0,6.0,1.0,14.0,13.0,2.0,13.0,13.0,12.0,15.0,17.0,14.0,1.0,17.0,16,7.0,16.0,2.0,2.0,1.0,18.0,17,15.0,16.0,16.0,3.0,15.0,18.0,178.0,4.12,0.09,16.0,0.37,0.42,18,35.0,0.81,17.0,12.0,119.0,2.76,15.0,0.35,355.6,8.2,96,2.22,0.11,,,,0.0,1.0,1.58,110.0,2.55,62.0,17.19,92,2.13,0.32,86,1.99,5,0.12,0,3,13.0,119.0,2.76,15.0,0.35,86,1.99,88.0,2164,50.13,1897,43.95,8.25,15.5,478,11.07,146,3.38,220,5.1,,,,,48,4.0,0.09,0.35,22.0,0.51,46.0,1.11,81.0,152,123,2.85,485.62,,9.86,0.23,2.53,0.13,39,45,80.0,4,6,1.0,39,,,0.19,0.0,7.51,,,,,3885,79.29,,166.0,5.47,0.13,0,,,,0,,2.47,,97,,0.72,2.25,,5.47,373,280,36.0,22.0
2027-2028,Wesley Fofana,R. Madrid,D (RC),DR,27,,Full Contract,FRA,44000000.0,65000000.0,15054000.0,8/7/2027,6/30/2030,185000000.0,47.0,0.0,47.0,0,8,7.19,4,1,1,Regular Starter,,Ambitious,16.0,,Very High,,,15.0,2.0,12.0,13.0,15.0,11.0,13.0,1.0,3.0,15.0,14.0,10.0,6.0,13.0,12.0,1.0,6.0,12,10.0,8.0,2.0,16.0,16.0,1.0,11.0,5.0,4.0,16.0,16.0,12.0,2.0,16.0,12,10.0,15.0,3.0,1.0,2.0,15.0,15,15.0,13.0,14.0,4.0,13.0,13.0,279.0,6.62,0.19,28.0,0.66,0.26,11,49.0,1.16,,14.0,111.0,2.63,15.0,0.36,333.7,7.9,108,2.56,0.08,,,,0.0,0.0,2.16,188.0,4.46,67.0,16.34,120,2.85,0.43,42,1.0,8,0.19,0,1,14.0,103.0,2.44,15.0,0.36,42,1.0,91.0,2049,48.61,1868,44.31,15.04,12.95,352,8.35,96,2.28,309,7.33,,,,,27,10.0,0.24,0.31,8.0,0.19,30.0,0.64,77.0,128,99,2.35,,,5.38,0.13,-2.05,0.05,36,48,83.0,2,6,,39,,,,,,,,,6.9,3794,80.72,,,2.05,0.05,0,,,,0,,2.53,,106,,0.76,2.51,,2.05,179,165,4.0,4.0
2027-2028,Aurélien Tchouameni,R. Madrid,"DM, M (C)",DM,28,,Full Contract,FRA,162000000.0,207000000.0,17535000.0,1/25/2028,6/30/2032,107000000.0,46.0,11.0,35.0,3,6,7.14,2,0,1,Regular Starter,,Spirited,16.0,,Very High,4.0,3.0,15.0,3.0,16.0,14.0,17.0,16.0,16.0,3.0,2.0,16.0,15.0,9.0,11.0,16.0,12.0,3.0,6.0,15,14.0,6.0,2.0,14.0,15.0,1.0,12.0,14.0,8.0,15.0,16.0,14.0,1.0,15.0,16,11.0,16.0,3.0,2.0,1.0,17.0,16,16.0,15.0,14.0,2.0,14.0,16.0,155.0,4.29,0.17,9.0,0.25,0.28,10,16.0,0.44,6.0,,16.0,0.44,0.0,0.0,291.1,8.1,37,1.03,0.09,,,,0.0,4.0,1.8,90.0,2.49,58.0,12.33,66,1.83,0.39,37,1.03,3,0.08,0,0,0.0,16.0,0.44,0.0,0.0,37,1.03,91.0,1884,52.2,1716,47.55,5.76,13.19,331,9.17,103,2.85,173,4.79,,,,,54,6.0,0.17,0.86,20.0,0.55,37.0,1.5,76.0,94,71,1.97,1082.67,,4.99,0.14,-1.8,0.13,8,51,83.0,4,4,,38,,,0.08,0.0,7.0,,,,7.0,3248,70.61,,1382.0,4.8,0.13,0,,,,0,,2.57,,88,,0.78,2.44,,4.8,380,289,36.0,28.0
2027-2028,Jayden Oosterwolde,R. Madrid,"D (LC), WB (L)",DL,27,,Full Contract,NED,71000000.0,85000000.0,7446000.0,1/27/2028,6/30/2032,55000000.0,25.0,8.0,17.0,2,5,7.07,3,0,1,Regular Starter,,Perfectionist,16.0,,Very High,,,15.0,3-5,14.0,14.0,14.0,15.0,16.0,2-4,1-2,13.0,13.0,8-10,9-12,12.0,9.0,2-4,4-6,13,8-10,5-7,1-2,14.0,16.0,2-5,11.0,10-12,8-10,15.0,16.0,10-13,1-3,17.0,13,3-6,14.0,1-2,1.0,1-3,15.0,16,15.0,14.0,12.0,2-4,12-14,15.0,93.0,5.35,0.29,6.0,0.35,0.52,9,9.0,0.52,17.0,18.0,76.0,4.37,14.0,0.81,144.3,8.3,42,2.42,0.09,,,,0.0,1.0,1.55,66.0,3.8,71.0,21.23,55,3.16,0.46,19,1.09,2,0.12,0,3,18.0,74.0,4.26,14.0,0.81,19,1.09,87.0,832,47.88,720,41.43,16.23,12.77,154,8.86,51,2.93,135,7.77,,,,,12,7.0,0.4,0.4,4.0,0.23,33.0,0.69,79.0,63,50,2.88,782.0,,3.01,0.17,0.91,0.06,16,20,76.0,2,4,,19,,,0.12,,,,,,7.2,1564,62.56,,1116.0,1.09,0.06,0,,,,0,,2.36,,42,,0.58,2.42,,1.09,204,197,9.0,9.0
2027-2028,Jude Bellingham,R. Madrid,"DM, M/AM (C)",MCL,24,Tir,Full Contract,ENG,302000000.0,330000000.0,34045000.0,7/31/2027,6/30/2032,144000000.0,55.0,9.0,46.0,12,23,7.49,11,0,12,Star Player,,Perfectionist,20.0,,Very High,6.0,1.0,15.0,2.0,17.0,16.0,17.0,15.0,17.0,3.0,4.0,18.0,15.0,11.0,13.0,15.0,17.0,3.0,16.0,17,18.0,13.0,1.0,14.0,13.0,1.0,17.0,14.0,7.0,12.0,16.0,17.0,1.0,15.0,17,13.0,12.0,1.0,1.0,2.0,17.0,14,16.0,15.0,17.0,3.0,17.0,18.0,165.0,3.61,0.5,17.0,0.37,0.59,27,28.0,0.61,10.0,18.0,82.0,1.79,13.0,0.28,381.2,8.3,105,2.3,0.1,,,,5.0,6.0,1.53,95.0,2.08,58.0,14.95,72,1.58,0.26,97,2.12,2,0.04,0,7,16.0,64.0,1.4,12.0,0.26,96,2.1,86.0,2350,51.42,2010,43.98,6.87,15.12,564,12.34,153,3.35,237,5.19,,,,,115,3.0,0.07,0.85,51.0,1.12,44.0,2.52,82.0,137,112,2.45,342.75,,13.05,0.29,0.5,0.25,37,66,82.0,5,5,,45,,,0.26,0.0,7.4,,,,6.6,4113,74.78,,129.0,11.5,0.25,2,,,,2,100.0,2.55,,108,,0.79,2.36,,11.5,384,285,83.0,64.0
2027-2028,Morten Hjulmand,R. Madrid,"DM, M (C)",S10,28,,Full Contract,DEN,43000000.0,53000000.0,6587000.0,7/17/2027,6/30/2031,59000000.0,37.0,27.0,10.0,1,3,6.84,1,1,0,Squad Player,,Fairly Determined,17.0,,Increased,6.0,0.0,13.0,1-3,18.0,14.0,13-15,13.0,15.0,1-3,1-2,11-14,16-19,7-10,10.0,12-14,12.0,2-5,9.0,14,10.0,5-7,1-2,9.0,10.0,2-4,13.0,14.0,7-10,12-15,16.0,12-14,1-4,14.0,14,8-10,14.0,1-3,2-4,1-2,16.0,14,16.0,15.0,14.0,1-2,14.0,16.0,35.0,2.55,0.22,8.0,0.58,0.73,10,11.0,0.8,8.0,,5.0,0.36,0.0,0.0,114.3,8.3,7,0.51,0.08,,,,0.0,0.0,1.38,16.0,1.16,46.0,14.11,18,1.31,0.07,12,0.87,0,0.0,0,1,0.0,5.0,0.36,0.0,0.0,12,0.87,89.0,738,53.69,654,47.58,7.57,12.95,132,9.6,35,2.55,62,4.51,,,,,13,1.0,0.07,0.8,5.0,0.36,38.0,0.95,81.0,32,26,1.89,1237.0,,2.6,0.19,0.02,0.07,9,23,73.0,4,6,,27,,,0.07,2.0,7.68,,,,6.8,1237,33.43,,1070.0,0.98,0.07,0,,,,0,,2.3,,28,,1.02,2.04,,0.98,303,292,14.0,14.0
2027-2028,Roger Ibañez,R. Madrid,"D (C), DM",DCR,29,Wnt,Full Contract,BRA,39000000.0,47000000.0,10683000.0,12/29/2026,6/30/2031,54000000.0,22.0,9.0,13.0,2,0,6.93,3,0,0,Squad Player,,Balanced,11.0,,Very High,3.0,1.0,15.0,1-3,17.0,14.0,16.0,14.0,17.0,1.0,1-3,12.0,13.0,4-6,8-10,13.0,11.0,1-2,8-11,13,7-9,2-5,2-4,16.0,15.0,2-4,10.0,7-9,10-12,15.0,17.0,8-10,1-2,16.0,15,5-7,14.0,1.0,1-3,1-3,15.0,15,17.0,12.0,12.0,3-5,9-12,12.0,94.0,6.1,,1.0,0.06,0.06,1,16.0,1.04,14.0,50.0,4.0,0.26,2.0,0.13,113.5,7.4,4,0.26,0.11,,,,0.0,0.0,1.62,69.0,4.48,73.0,6.16,20,1.3,0.78,3,0.19,4,0.26,0,0,50.0,4.0,0.26,2.0,0.13,3,0.19,93.0,949,61.58,886,57.49,2.92,15.12,51,3.31,21,1.36,67,4.35,,,,,14,2.0,0.13,0.13,8.0,0.52,57.0,0.91,60.0,25,15,0.97,693.5,,0.54,0.04,0.49,0.1,3,9,73.0,3,3,,16,,,0.13,0.0,6.6,,,,6.8,1387,63.05,,430.0,1.51,0.1,0,,,,0,,2.32,,34,,0.78,2.21,,1.51,272,255,19.0,18.0
2027-2028,Vinícius Júnior,R. Madrid,"M (L), AM (RL), ST (C)",STCR,27,Inj,Full Contract,BRA,253000000.0,303000000.0,31654000.0,9/5/2026,6/30/2031,49500000.0,49.0,5.0,44.0,33,11,7.34,6,0,5,Star Player,Trained at club (15-21),Perfectionist,20.0,A pulled hamstring,Very High,6.0,0.0,18.0,1.0,17.0,18.0,16.0,16.0,17.0,3.0,2.0,16.0,13.0,8.0,15.0,16.0,19.0,4.0,16.0,15,16.0,10.0,1.0,13.0,8.0,3.0,14.0,13.0,5.0,5.0,16.0,18.0,3.0,17.0,15,12.0,10.0,1.0,2.0,2.0,16.0,13,6.0,13.0,16.0,3.0,16.0,14.0,293.0,6.5,0.24,6.0,0.13,0.53,24,13.0,0.29,21.0,10.0,37.0,0.82,4.0,0.09,347.2,7.7,92,2.04,0.15,,,,0.0,4.0,5.34,52.0,1.15,18.0,8.85,43,0.95,0.07,53,1.18,1,0.02,0,47,11.0,37.0,0.82,4.0,0.09,53,1.18,88.0,1059,23.49,928,20.58,5.43,3.33,330,7.32,78,1.73,49,1.09,,,,,157,0.0,0.0,0.93,80.0,1.77,51.0,3.48,86.0,74,64,1.42,122.97,,8.45,0.19,9.51,0.52,112,82,78.0,5,6,,38,,,0.73,2.0,6.92,,,,7.0,4058,82.82,,322.0,23.49,0.52,0,,,,0,,2.43,,103,,0.8,2.28,,23.49,440,343,194.0,139.0
2027-2028,Éder Militão,R. Madrid,"D (RC), DM",,30,Inj,Full Contract,BRA,153000000.0,220000000.0,11024000.0,9/5/2026,6/30/2030,59000000.0,54.0,0.0,54.0,6,2,7.17,11,0,3,Regular Starter,,Spirited,15.0,A hamstring strain,Normal,6.0,0.0,16.0,3.0,15.0,16.0,16.0,15.0,16.0,2.0,1.0,13.0,14.0,9.0,9.0,14.0,11.0,1.0,8.0,12,10.0,10.0,4.0,15.0,15.0,1.0,16.0,10.0,10.0,15.0,18.0,11.0,2.0,15.0,15,12.0,16.0,3.0,1.0,1.0,16.0,15,16.0,14.0,12.0,4.0,12.0,16.0,359.0,6.65,0.04,26.0,0.48,0.17,9,47.0,0.87,20.0,11.0,18.0,0.33,2.0,0.04,401.0,7.4,22,0.41,0.1,,,,0.0,1.0,1.93,255.0,4.72,71.0,7.3,115,2.13,0.74,19,0.35,15,0.28,0,4,11.0,18.0,0.33,2.0,0.04,19,0.35,93.0,3564,66.0,3321,61.5,3.7,16.28,194,3.59,72,1.33,225,4.17,,,,,30,32.0,0.59,0.13,11.0,0.2,37.0,0.56,80.0,96,77,1.43,810.0,,2.58,0.05,2.89,0.06,16,56,81.0,3,7,,44,,,0.11,1.0,7.08,,,,,4860,90.0,,250.0,3.11,0.06,0,,,,0,,2.5,,127,,0.81,2.35,,3.11,376,301,26.0,23.0
2027-2028,Arthur Theate,R. Madrid,D (C),DCL,28,,Full Contract,BEL,112000000.0,136000000.0,5661000.0,7/7/2025,6/30/2031,90000000.0,52.0,0.0,52.0,1,6,7.16,13,1,3,Regular Starter,,Resolute,17.0,,Very High,3.0,0.0,15.0,3.0,15.0,16.0,18.0,14.0,15.0,4.0,1.0,13.0,14.0,5.0,10.0,14.0,12.0,1.0,10.0,13,13.0,6.0,1.0,16.0,15.0,3.0,16.0,9.0,8.0,15.0,14.0,13.0,1.0,14.0,13,7.0,16.0,3.0,1.0,1.0,16.0,15,15.0,14.0,13.0,1.0,12.0,14.0,358.0,7.08,0.12,24.0,0.47,0.12,6,43.0,0.85,5.0,23.0,21.0,0.42,5.0,0.1,369.1,7.3,40,0.79,0.08,,,,0.0,0.0,1.96,259.0,5.12,72.0,7.31,118,2.33,0.59,22,0.43,15,0.3,0,2,24.0,21.0,0.42,5.0,0.1,21,0.42,93.0,3135,61.96,2917,57.65,3.6,15.89,131,2.59,51,1.01,235,4.64,,,,,20,33.0,0.65,0.06,7.0,0.14,35.0,0.4,81.0,62,50,0.99,4554.0,,4.07,0.08,-0.64,0.03,12,40,77.0,5,7,,40,,,0.02,0.0,7.43,,,,6.7,4554,87.58,,2425.0,1.64,0.03,0,,,,0,,2.4,,110,,0.79,2.17,,1.64,306,249,24.0,23.0
2027-2028,Thibaut Courtois,R. Madrid,GK,GK,36,,Full Contract,BEL,,,14551000.0,12/6/2027,6/30/2029,53000000.0,50.0,0.0,50.0,0,0,7.15,0,0,1,First-Choice Goalkeeper,,Spirited,16.0,,Increased,5.0,0.0,7.0,20.0,8.0,9.0,15.0,11.0,15.0,16.0,14.0,12.0,16.0,6.0,2.0,16.0,10.0,5.0,1.0,10,14.0,4.0,16.0,10.0,17.0,17.0,13.0,2.0,3.0,2.0,12.0,1.0,19.0,7.0,14,1.0,16.0,6.0,19.0,12.0,5.0,10,1.0,14.0,12.0,17.0,10.0,11.0,,,,,,,0,,0.52,,,,,,,193.3,3.8,0,,0.0,8.83,0.18,86.0,,,,,,,0.02,0,,0.0,0,,0,0.0,1,0,,,,,,0,0.0,90.0,1408,27.97,1265,25.13,4.97,4.19,0,0.0,0,0.0,3,0.06,78.0,40.0,66.0,19.0,0,,,,,,,,0.0,3,0,0.0,,0.46,0.0,0.0,0.0,0.0,22,0,80.0,4,6,,40,37.0,0.74,,0.0,7.38,3.0,,,7.5,4530,90.6,104.0,,0.0,0.0,0,3.0,0.0,0.0,0,,2.48,23.0,118,37.0,0.74,2.34,2.0,0.0,664,582,,
2027-2028,David Alaba,R. Madrid,"D (LC), WB (L), M (C)",S2,35,Wnt,Full Contract,AUT,950000.0,7800000.0,8245000.0,12/28/2027,6/30/2029,0.0,44.0,14.0,30.0,2,4,7.11,2,0,2,Squad Player,,Spirited,16.0,,Normal,,,10.0,3.0,13.0,11.0,15.0,12.0,12.0,1.0,3.0,14.0,14.0,11.0,13.0,15.0,9.0,2.0,10.0,16,12.0,16.0,2.0,12.0,11.0,3.0,15.0,13.0,12.0,14.0,19.0,13.0,3.0,10.0,16,14.0,16.0,2.0,3.0,1.0,10.0,9,13.0,14.0,15.0,3.0,12.0,15.0,153.0,5.25,0.14,21.0,0.72,0.24,7,31.0,1.06,29.0,11.0,78.0,2.68,9.0,0.31,222.8,7.6,28,0.96,0.27,,,,2.0,0.0,2.03,94.0,3.23,61.0,14.62,70,2.4,0.45,85,2.92,6,0.21,1,2,12.0,67.0,2.3,8.0,0.27,45,1.54,89.0,1645,56.46,1457,50.01,16.13,12.56,274,9.41,83,2.85,215,7.38,,,,,7,15.0,0.51,0.14,4.0,0.14,57.0,0.24,79.0,131,104,3.57,1311.0,,6.63,0.23,0.1,0.07,19,24,82.0,3,5,,36,,,0.07,,,,,,7.5,2622,59.59,,1596.0,0.31,0.01,2,,,,2,100.0,2.52,,62,,0.79,2.13,,1.9,651,553,46.0,37.0
2027-2028,Cheick Doucouré,Everton,"DM, M (C)",,28,,Full Contract,MLI,53000000.0,64000000.0,6739000.0,12/16/2027,6/30/2031,61000000.0,12.0,6.0,6.0,1,0,6.85,0,0,0,Scouting Required,,,12-15,,,11.0,0.0,11-15,1-3,12-16,12-15,13-16,14-17,13-16,1-4,1-3,12-15,13-16,8-11,7-11,12-16,9-12,2-5,8-11,15,11.0,7-10,1-5,9-13,12-15,1-2,8-12,10-14,7-10,14-17,12-16,11-14,3-6,10-14,15,8-11,13-16,1-4,2-5,1-3,13-17,13,15.0,11-15,13-17,1-3,16.0,13-17,20.0,3.02,,3.0,0.45,,0,5.0,0.75,17.0,,2.0,0.3,0.0,0.0,53.4,8.1,4,0.6,0.11,,,,0.0,0.0,1.21,12.0,1.81,60.0,11.61,9,1.36,0.0,11,1.66,0,0.0,0,0,0.0,2.0,0.3,0.0,0.0,11,1.66,90.0,321,48.39,289,43.57,7.24,13.12,67,10.1,19,2.86,29,4.37,,,,,6,0.0,0.0,0.3,1.0,0.15,17.0,0.9,94.0,17,16,2.41,597.0,,0.72,0.11,0.35,0.1,4,9,50.0,3,3,,6,,,0.15,9.0,7.84,,,,,597,49.75,,39.0,0.65,0.1,0,,,,0,,1.75,,11,,0.9,1.66,,0.65,273,272,11.0,11.0
2027-2028,Victor Osimhen,R. Madrid,"AM (L), ST (C)",STCL,29,,Full Contract,NGA,229000000.0,250000000.0,25315000.0,1/7/2028,6/30/2032,205000000.0,22.0,2.0,20.0,10,2,7.22,1,0,3,Regular Starter,,Fairly Determined,15.0,,High,11.0,0.0,16.0,1.0,15.0,16.0,16.0,16.0,11.0,3.0,1.0,17.0,14.0,5.0,9.0,14.0,12.0,3.0,19.0,14,15.0,7.0,1.0,18.0,15.0,1.0,10.0,12.0,4.0,5.0,16.0,19.0,3.0,19.0,12,16.0,7.0,1.0,1.0,2.0,13.0,15,7.0,12.0,14.0,1.0,12.0,13.0,124.0,7.28,0.12,2.0,0.12,0.18,3,8.0,0.47,12.0,,9.0,0.53,0.0,0.0,125.6,7.4,26,1.53,0.11,,,,0.0,3.0,3.29,68.0,3.99,55.0,7.39,20,1.17,0.18,12,0.7,0,0.0,0,15,0.0,9.0,0.53,0.0,0.0,12,0.7,82.0,402,23.59,331,19.42,12.38,3.64,141,8.27,25,1.47,14,0.82,,,,,86,0.0,0.0,1.35,44.0,2.58,51.0,5.05,90.0,21,19,1.11,153.4,,1.78,0.1,0.42,0.56,37,23,68.0,3,4,,15,,,0.59,1.0,7.64,,,,6.6,1534,69.73,,140.0,9.58,0.56,1,,,,1,100.0,2.18,,32,,0.65,1.88,,9.58,305,297,149.0,147.0
