Season,Name,Club,Position,Position Selected,Age,Inf,Type,Nat,Transfer Value (Low),Transfer Value (High),Salary,Begins,Expires,Transfer Fees Received,Apps (Total),Apps (Sub Apps),Starts,Gls,Ast,Av Rat,Yel,Red,PoM,Agreed Playing Time,Home Grown Status,Personality,Det,Injury,Injury Risk,Int Apps (Total),Int Apps (Sub Apps),Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Natural Fitness,Off The Ball,One on Ones,Pace,Passing,Penalty Taking,Positioning,Punching (Tendency),Reflexes,Rushing Out (Tendency),Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate,Hdrs A,Aer A/90,Asts/90,Blk,Blk/90,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,FK Shots,Goals Outside Box,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,K Hdrs/90,K Pas,K Ps/90,K Tck,K Tck/90,Gl Mst,Off,OP-Cr %,OP-Crs A,OP-Crs A/90,OP-Crs C,OP-Crs C/90,OP-KP,OP-KP/90,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck C,Tck/90,Mins/Gl,Cln/90,xA,xA/90,xG-OP,xG/90,FA,Fls,Gwin,D,Lost,G. Mis,Won,Conc,All/90,Gls/90,Int Ast,Int Av Rat,Int Conc,Last 5 FT Games,Last 5 Games,LMR,Mins,Mins/Gm,Last C,Last Gl,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Pts/Gm,Shutouts,Tgls,Tall,Tcon/90,Tgls/90,Saves/90,xG,AT Apps,AT Lge Apps,AT Gls,AT Lge Gls
2027-2028,Robert Renan,FC Porto,D (C),DCL,24,Wnt,Full Contract,BRA,38000000.0,46000000.0,2444000.0,2/1/2027,6/30/2031,38500000.0,43.0,0.0,43.0,3.0,4.0,7.07,1.0,0.0,0.0,Scouting Required,,,15.0,,,,,11-14,1-4,9-12,14-17,15-18,11-15,10-14,1.0,3-6,13-16,12-16,7-11,6-9,13-16,11-14,1-5,6-10,13-16,7-11,7-11,1-2,12.0,14.0,1-4,11-14,6-9,7-10,15.0,11-14,10-13,1-3,13-17,12-15,10-13,14.0,1-2,1-2,1-4,11-14,14-17,13.0,11-15,10-13,1-4,14-18,11-14,374.0,8.64,0.09,33.0,0.76,0.02,1.0,41.0,0.95,11.0,50.0,5.0,0.12,2.0,0.05,303.9,7.0,6.0,0.14,0.08,,,,0.0,0.0,3.23,234.0,5.4,63.0,5.22,99.0,2.29,0.67,17.0,0.39,11.0,0.25,2.0,1.0,40.0,4.0,0.09,2.0,0.05,17.0,0.39,94.0,2681.0,61.92,2512.0,58.01,3.97,13.3,140.0,3.23,55.0,1.27,225.0,5.2,,,,,28.0,28.0,0.65,0.0,17.0,0.39,61.0,0.65,78.0,46.0,36.0,0.83,1299.0,,1.4,0.03,0.69,0.05,8.0,8.0,67.0,7.0,7.0,,29.0,,,0.07,,,,,,7.6,3897.0,90.63,,2051.0,2.31,0.05,0.0,,,,0.0,,2.19,,102.0,,0.92,2.36,,2.31,171,156,7.0,5.0
2027-2028,Stelios Andreou,Wolves,D (C),,25,Trn,Full Contract,CYP,18500000.0,18500000.0,1559000.0,7/24/2024,6/30/2029,17000000.0,40.0,1.0,39.0,0.0,0.0,6.67,6.0,1.0,0.0,Scouting Required,,,15.0,,,7.0,0.0,11-14,1-5,10-13,13-16,14-17,10-14,10-14,1-3,3-6,13-16,12-16,2-6,5-8,12-15,9-12,1-3,1-5,12-15,7-11,5-9,1-2,13.0,14.0,2-5,11-14,5-8,6-9,15.0,14-17,11-14,1-4,13-17,9-12,7-10,15.0,1-2,1-4,1-4,12-15,15-18,12.0,12-16,7-10,4-7,9-13,9-12,245.0,6.37,,23.0,0.6,0.08,3.0,44.0,1.14,,33.0,3.0,0.08,1.0,0.03,275.8,7.2,9.0,0.23,0.07,,,,0.0,0.0,2.21,160.0,4.16,65.0,5.61,69.0,1.79,0.65,6.0,0.16,7.0,0.18,1.0,0.0,33.0,3.0,0.08,1.0,0.03,6.0,0.16,93.0,2154.0,55.98,1994.0,51.82,4.89,11.95,111.0,2.88,38.0,0.99,151.0,3.92,,,,,20.0,23.0,0.6,0.23,3.0,0.08,15.0,0.52,84.0,57.0,48.0,1.25,,,2.17,0.06,-1.3,0.03,11.0,20.0,33.0,7.0,20.0,,13.0,,,,0.0,7.0,,,,,3463.0,86.58,,,1.3,0.03,0.0,,,,0.0,,1.15,,42.0,,1.33,1.09,,1.3,237,229,9.0,9.0
2027-2028,Esteban Lozano,FC Porto,ST (C),S4,25,,Full Contract,MEX,9600000.0,12000000.0,987000.0,2/1/2027,6/30/2031,10500000.0,13.0,9.0,4.0,3.0,3.0,6.97,0.0,0.0,0.0,Scouting Required,,,12-15,,,2.0,2.0,14.0,1-4,9-13,12-15,12-15,13-16,7-10,1-4,1-2,11-14,12-15,11-14,7-11,12-16,11-14,3-6,13-16,12.0,13-16,5-8,1-3,16.0,15.0,1-3,7-11,10-14,4-7,6-9,10-14,11-14,3-6,13.0,9-13,6-9,6-9,3-7,2-5,1-3,11-15,15.0,1-5,7-11,13-17,1.0,8-12,10-14,46.0,7.99,0.52,0.0,,0.35,2.0,2.0,0.35,20.0,,3.0,0.52,0.0,0.0,42.9,7.5,3.0,0.52,0.21,,,,0.0,0.0,4.17,22.0,3.82,48.0,4.17,1.0,0.17,0.35,5.0,0.87,0.0,0.0,0.0,3.0,0.0,1.0,0.17,0.0,0.0,5.0,0.87,84.0,128.0,22.24,108.0,18.76,7.99,1.91,28.0,4.86,5.0,0.87,3.0,0.52,,,,,15.0,0.0,0.0,0.17,5.0,0.87,33.0,2.61,75.0,4.0,3.0,0.52,172.67,,0.62,0.11,-0.15,0.55,6.0,3.0,92.0,1.0,0.0,4.0,12.0,,,0.52,0.0,,,,,,518.0,39.85,,122.0,3.15,0.55,0.0,,,,0.0,,2.85,,20.0,,0.87,3.47,,3.15,73,66,31.0,31.0
2027-2028,Jorge Meireles,Moreirense,"AM (C), ST (C)",,24,,Full Contract,POR,160000.0,475000.0,166000.0,5/27/2025,6/30/2029,120000.0,30.0,24.0,6.0,4.0,1.0,6.68,0.0,0.0,0.0,Scouting Required,Trained at club (15-21),,10-14,,,,,13.0,1-3,6-9,15-18,13-16,12-16,10-14,1-3,1-4,9-13,10-14,7-11,6-9,11-14,13-16,2-6,11-15,14.0,11-15,8-12,1-3,8.0,8.0,1-4,6-9,10-13,1-5,8-12,10-13,14-17,2-6,13.0,11-14,10-13,9-13,1-3,1-5,1-3,12-15,11.0,7-10,9-12,11-14,1-2,12-15,11-14,97.0,9.33,0.1,0.0,,0.19,2.0,4.0,0.38,17.0,20.0,5.0,0.48,1.0,0.1,87.2,8.4,11.0,1.06,0.21,,,,0.0,0.0,8.08,13.0,1.25,13.0,6.35,14.0,1.35,0.0,4.0,0.38,0.0,0.0,0.0,10.0,20.0,5.0,0.48,1.0,0.1,4.0,0.38,85.0,220.0,21.15,187.0,17.98,6.73,4.23,101.0,9.71,28.0,2.69,5.0,0.48,,,,,23.0,0.0,0.0,0.67,8.0,0.77,35.0,2.21,65.0,20.0,13.0,1.25,234.0,,0.28,0.03,-0.9,0.47,11.0,13.0,30.0,6.0,15.0,,9.0,,,0.38,,,,,,,936.0,31.2,,194.0,4.9,0.47,0.0,,,,0.0,,1.1,,17.0,,1.63,1.63,,4.9,145,143,27.0,27.0
2027-2028,Jordan Bos,Club Brugge,D/WB (L),,25,,Full Contract,AUS,650000.0,6400000.0,1069000.0,9/1/2025,6/30/2029,4200000.0,17.0,1.0,16.0,0.0,0.0,6.78,1.0,2.0,0.0,Scouting Required,,,6.0,,Low,4.0,0.0,14-18,1-5,11-15,7-10,9-12,15-18,12-15,1-4,2-5,10-13,10-14,6-10,11-15,11-14,9-12,1-2,9-12,10-13,3-7,8-11,2-6,8.0,11.0,1.0,6-10,5-8,6-9,12.0,14-18,8-11,1-3,11-15,11-15,4-7,10.0,1-2,3-6,1-5,12-15,9-12,10.0,10-14,10-13,1-4,9-13,12-15,40.0,2.57,,6.0,0.39,0.06,1.0,10.0,0.64,,3.0,29.0,1.86,1.0,0.06,84.0,5.4,14.0,0.9,0.21,,,,0.0,0.0,1.09,23.0,1.48,58.0,11.12,25.0,1.61,0.13,4.0,0.26,0.0,0.0,0.0,2.0,3.0,29.0,1.86,1.0,0.06,4.0,0.26,83.0,602.0,38.7,502.0,32.27,8.23,8.04,99.0,6.36,22.0,1.41,56.0,3.6,,,,,10.0,8.0,0.51,0.06,2.0,0.13,20.0,0.64,68.0,38.0,26.0,1.67,,,1.01,0.06,-2.15,0.14,9.0,21.0,35.0,8.0,3.0,28.0,6.0,,,,0.0,7.35,,,,,1400.0,82.35,,,2.15,0.14,0.0,,,,0.0,,1.53,,17.0,,0.84,1.09,,2.15,193,193,7.0,7.0
2027-2028,Gonçalo Borges,FC Porto,M/AM (RL),S12,27,Wnt,Full Contract,POR,19500000.0,30000000.0,2714000.0,2/5/2027,6/30/2031,0.0,13.0,8.0,5.0,3.0,6.0,7.25,0.0,0.0,1.0,Scouting Required,Trained at club (15-21),,10-13,,,,,15.0,1-4,8-12,15-19,10-14,11-14,6-9,1-4,1-3,11-14,9-12,11-14,12-16,8-12,16-20,1-4,9-12,13.0,15-18,4-7,1-3,7.0,12.0,2-6,5-9,8-12,6-9,5-8,10-14,14-18,1-4,16.0,10-14,11-15,3-6,1-4,1-2,3-6,11-15,11.0,8-11,9-12,13-17,1-2,12-15,12-16,32.0,5.71,1.07,3.0,0.54,1.25,7.0,3.0,0.54,20.0,16.0,79.0,14.11,15.0,2.68,46.8,8.4,26.0,4.64,0.13,,,,0.0,0.0,3.57,12.0,2.14,38.0,12.86,5.0,0.89,0.0,23.0,4.11,0.0,0.0,0.0,3.0,19.0,48.0,8.57,8.0,1.43,15.0,2.68,86.0,251.0,44.82,217.0,38.75,16.79,6.25,83.0,14.82,26.0,4.64,28.0,5.0,,,,,15.0,1.0,0.18,1.07,7.0,1.25,47.0,2.68,80.0,10.0,8.0,1.43,168.0,,3.59,0.64,1.07,0.34,12.0,4.0,77.0,2.0,1.0,7.0,10.0,,,0.54,,,,,,,504.0,38.77,,83.0,1.93,0.34,0.0,,,,0.0,,2.46,,15.0,,1.61,2.68,,1.93,201,152,27.0,20.0
2027-2028,Nuno Tavares,FC Porto,D/WB/M (L),S2,28,Wnt,Full Contract,POR,16500000.0,26000000.0,3477000.0,1/25/2027,6/30/2031,35500000.0,23.0,8.0,15.0,0.0,1.0,6.94,2.0,0.0,1.0,Scouting Required,Trained in nation (15-21),,12.0,,,4.0,2.0,14-17,1-2,9-12,15-18,11-14,10-14,11-15,2-5,1-3,7-11,9-13,10-14,9-12,11-14,13-16,1-5,6-10,10-14,11-15,6-10,1.0,9.0,13.0,2-5,4-7,10-13,8-12,12.0,13-16,13-16,1-4,14-17,9-12,6-9,11.0,1-4,1-4,1-4,13-16,10-14,13.0,11-14,12-15,1-4,11-14,12-15,84.0,5.83,0.07,4.0,0.28,0.56,8.0,8.0,0.56,,21.0,68.0,4.72,14.0,0.97,120.6,8.4,51.0,3.54,0.07,,,,0.0,0.0,1.53,62.0,4.31,74.0,15.49,45.0,3.12,0.42,31.0,2.15,0.0,0.0,0.0,1.0,21.0,51.0,3.54,11.0,0.76,28.0,1.94,90.0,847.0,58.82,766.0,53.19,13.12,13.75,111.0,7.71,32.0,2.22,125.0,8.68,,,,,10.0,0.0,0.0,0.35,6.0,0.42,60.0,0.69,88.0,26.0,23.0,1.6,,,2.98,0.21,-0.68,0.05,13.0,8.0,65.0,5.0,3.0,4.0,15.0,,,,0.0,6.95,,,,,1296.0,56.35,,,0.68,0.05,0.0,,,,0.0,,2.17,,36.0,,1.25,2.5,,0.68,236,222,10.0,10.0
2027-2028,Galeno,FC Porto,"M/AM (RL), ST (C)",AML,30,,Full Contract,BRA,36000000.0,52000000.0,5013000.0,5/26/2025,6/30/2029,15000000.0,36.0,2.0,34.0,15.0,9.0,7.37,1.0,0.0,7.0,Regular Starter,Trained in nation (15-21),Fairly Professional,14.0,,,,,17.0,3.0,13.0,17.0,11.0,14.0,12.0,2.0,2.0,12.0,9.0,11.0,12.0,9.0,15.0,1.0,12.0,12.0,17.0,14.0,3.0,6.0,10.0,2.0,7.0,12.0,13.0,6.0,18.0,14.0,1.0,17.0,12.0,14.0,8.0,4.0,2.0,3.0,16.0,10.0,7.0,10.0,14.0,2.0,12.0,14.0,194.0,6.09,0.28,6.0,0.19,0.69,22.0,16.0,0.5,14.0,26.0,152.0,4.77,36.0,1.13,260.3,8.2,116.0,3.64,0.14,,,,19.0,0.0,3.58,80.0,2.51,41.0,14.72,56.0,1.76,0.03,96.0,3.01,2.0,0.06,0.0,26.0,24.0,105.0,3.3,28.0,0.88,81.0,2.54,81.0,1128.0,35.41,919.0,28.85,15.38,6.78,408.0,12.81,128.0,4.02,112.0,3.52,,,,,111.0,3.0,0.09,1.57,55.0,1.73,50.0,3.48,82.0,77.0,63.0,1.98,191.13,,8.29,0.26,-0.85,0.5,82.0,41.0,67.0,6.0,6.0,,24.0,,,0.47,,,,,,7.0,2867.0,79.64,,139.0,10.31,0.32,7.0,,,,5.0,71.0,2.17,,78.0,,0.72,2.45,,15.85,419,354,128.0,112.0
2027-2028,Sebastián Vegas,FC Porto,D (LC),S6,31,Wnt,Full Contract,CHI,7200000.0,10500000.0,1487000.0,7/11/2024,6/30/2029,12250000.0,18.0,9.0,9.0,2.0,1.0,7.12,0.0,0.0,0.0,Fringe Player,,Balanced,14.0,,,6.0,0.0,12.0,3-5,14.0,15.0,15.0,13.0,10.0,1-2,1-4,13.0,13.0,7-10,6-8,14.0,5.0,2-5,4-6,11.0,9-12,3-5,1.0,14.0,13.0,1-3,13.0,8-10,13-16,14.0,15.0,12-14,2-5,15.0,13.0,8-10,14.0,2-4,3-5,1-3,15.0,13.0,13.0,12.0,14.0,1-4,11-13,14.0,62.0,6.57,0.11,5.0,0.53,,0.0,4.0,0.42,29.0,25.0,4.0,0.42,1.0,0.11,70.0,7.4,4.0,0.42,0.1,,,,0.0,1.0,2.23,41.0,4.35,66.0,6.47,16.0,1.7,0.53,4.0,0.42,5.0,0.53,0.0,1.0,25.0,4.0,0.42,1.0,0.11,4.0,0.42,95.0,592.0,62.76,560.0,59.36,4.56,12.4,40.0,4.24,15.0,1.59,64.0,6.78,,,,,7.0,5.0,0.53,0.11,4.0,0.42,57.0,0.74,88.0,17.0,15.0,1.59,424.5,,1.46,0.15,1.27,0.08,3.0,2.0,78.0,3.0,1.0,4.0,14.0,,,0.21,1.0,6.78,,,,,849.0,47.17,,400.0,0.73,0.08,0.0,,,,0.0,,2.5,,25.0,,0.85,2.65,,0.73,432,375,20.0,19.0
2027-2028,Iván Jaime,FC Porto,"DM, M/AM (LC)",S13,27,,Full Contract,POR,65000.0,650000.0,1309000.0,7/10/2023,6/30/2028,11250000.0,3.0,3.0,,0.0,0.0,6.55,0.0,0.0,0.0,Scouting Required,,,9-12,,,,,12.0,1-4,5-9,14-18,11-15,10-13,5-8,1-5,1-2,13-16,10-13,11-14,10-14,12-16,14-18,1-4,9-12,15.0,13-16,8-11,1-5,6.0,11.0,2-6,5-9,10-14,7-10,5-8,10-14,13-17,1-3,11.0,11-15,10-14,6-9,1-3,1-4,2-5,10-14,10.0,9-12,10-13,13-17,1-2,15-18,7-11,3.0,,,0.0,,,0.0,0.0,,,,2.0,,0.0,,4.2,,0.0,,0.05,,,,0.0,0.0,,0.0,,0.0,,0.0,,,1.0,,0.0,,0.0,0.0,0.0,1.0,,0.0,,0.0,,84.0,25.0,,21.0,,,,3.0,,0.0,,4.0,,,,,,1.0,0.0,,,0.0,,0.0,,,0.0,,,,,0.02,,-0.05,,2.0,0.0,67.0,1.0,0.0,15.0,2.0,,,,,,,,,,47.0,15.67,,,0.05,,0.0,,,,0.0,,,,1.0,,,,,0.05,182,176,28.0,27.0
2027-2028,Kang-In Lee,FC Porto,"M/AM (RLC), ST (C)",S5,27,,Loan,KOR,48000000.0,72000000.0,4919000.0,9/1/2027,6/29/2028,24000000.0,39.0,9.0,30.0,12.0,10.0,7.22,4.0,0.0,3.0,,,Spirited,16.0,,,4.0,0.0,14.0,3.0,13.0,16.0,14.0,13.0,12.0,2.0,3.0,12.0,12.0,13.0,13.0,13.0,16.0,1.0,12.0,14.0,17.0,12.0,3.0,8.0,7.0,3.0,11.0,15.0,7.0,6.0,14.0,13.0,1.0,13.0,15.0,13.0,9.0,2.0,1.0,1.0,12.0,10.0,5.0,11.0,15.0,1.0,15.0,12.0,129.0,4.76,0.37,6.0,0.22,1.0,27.0,18.0,0.66,21.0,25.0,166.0,6.13,42.0,1.55,219.0,8.1,87.0,3.21,0.14,,,,4.0,4.0,3.84,25.0,0.92,19.0,14.81,47.0,1.74,0.0,75.0,2.77,0.0,0.0,1.0,13.0,25.0,127.0,4.69,33.0,1.22,66.0,2.44,85.0,964.0,35.6,819.0,30.25,13.04,5.84,323.0,11.93,94.0,3.47,75.0,2.77,,,,,57.0,0.0,0.0,0.78,28.0,1.03,49.0,2.11,81.0,54.0,44.0,1.62,203.08,,10.45,0.39,4.12,0.29,50.0,24.0,64.0,8.0,6.0,3.0,25.0,,,0.44,4.0,7.8,,,,,2437.0,62.49,,478.0,7.09,0.26,1.0,,,,1.0,100.0,2.13,,70.0,,1.0,2.59,,7.88,233,219,33.0,25.0
2027-2028,Fran Navarro,FC Porto,"AM (L), ST (C)",S14,30,Lst,Full Contract,ESP,275000.0,275000.0,1011000.0,7/4/2023,6/30/2028,6750000.0,2.0,1.0,1.0,0.0,0.0,6.6,0.0,0.0,0.0,Scouting Required,,,9-13,,,,,13.0,1-2,7-10,13-16,13-16,12-16,10-14,2-5,1-2,11-15,11-15,6-10,7-10,11-14,12-15,1-4,13-17,14.0,11-15,6-10,1-2,14.0,10.0,3-6,7-10,11-14,4-8,7-11,8-11,14-17,3-7,13.0,8-11,12-15,6-10,1-4,1-4,1-3,12-15,12.0,6-9,10-13,12-15,1-3,10-13,10-13,2.0,2.0,,0.0,,,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,6.6,6.6,1.0,1.0,0.08,,,,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,82.0,17.0,17.0,14.0,14.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,-0.08,0.08,2.0,0.0,50.0,0.0,1.0,8.0,1.0,,,,,,,,,,90.0,45.0,,,0.08,0.08,0.0,,,,0.0,,1.5,,1.0,,1.0,1.0,,0.08,213,199,71.0,65.0
2027-2028,Jesús Vallejo,FC Porto,"D (RC), DM",S9,31,Lst,Full Contract,ESP,220000.0,220000.0,1500000.0,7/19/2024,6/30/2028,8000000.0,16.0,11.0,5.0,1.0,0.0,6.89,0.0,0.0,0.0,Scouting Required,,,15.0,,,,,7-10,1-3,11-14,12-15,17-20,9-13,11-15,2-5,1-2,11-15,11-15,3-7,5-8,12-15,8-11,1-4,4-8,9-13,6-10,3-7,1-2,11.0,13.0,3-6,11-14,6-9,5-9,15.0,12-15,7-10,1-5,11-14,9-12,8-11,14.0,1-3,1-3,1-2,11-14,9-13,15.0,13-16,11-14,1-2,9-12,9-12,29.0,6.1,,2.0,0.42,,0.0,1.0,0.21,25.0,,1.0,0.21,0.0,0.0,37.3,7.9,2.0,0.42,0.21,,,,0.0,0.0,3.79,11.0,2.31,38.0,8.62,19.0,4.0,0.21,0.0,,2.0,0.42,0.0,0.0,0.0,1.0,0.21,0.0,0.0,0.0,0.0,94.0,359.0,75.49,338.0,71.07,5.47,10.93,28.0,5.89,10.0,2.1,45.0,9.46,,,,,4.0,2.0,0.42,0.42,1.0,0.21,25.0,0.84,100.0,5.0,5.0,1.05,428.0,,0.05,0.01,0.14,0.18,3.0,0.0,69.0,4.0,1.0,,11.0,,,0.21,,,,,,,428.0,26.75,,83.0,0.86,0.18,0.0,,,,0.0,,2.31,,12.0,,1.68,2.52,,0.86,254,236,8.0,6.0
2027-2028,José Gayà,FC Porto,D/WB/M/AM (L),DL,32,Int,Full Contract,ESP,,,4275000.0,12/30/2027,6/30/2029,44000000.0,34.0,1.0,33.0,4.0,5.0,7.17,7.0,0.0,1.0,Regular Starter,,Professional,16.0,,,3.0,1.0,15.0,1.0,12.0,16.0,16.0,13.0,13.0,4.0,3.0,14.0,14.0,13.0,14.0,16.0,13.0,3.0,8.0,16.0,14.0,13.0,3.0,4.0,6.0,3.0,16.0,10.0,7.0,12.0,14.0,15.0,2.0,15.0,14.0,13.0,14.0,2.0,2.0,1.0,15.0,11.0,14.0,14.0,16.0,2.0,14.0,15.0,118.0,3.63,0.15,19.0,0.58,0.4,13.0,30.0,0.92,10.0,32.0,232.0,7.13,49.0,1.51,274.5,8.4,72.0,2.21,0.11,,,,19.0,1.0,2.15,48.0,1.47,41.0,15.95,91.0,2.8,0.09,104.0,3.2,5.0,0.15,2.0,3.0,21.0,67.0,2.06,22.0,0.68,57.0,1.75,87.0,1928.0,59.24,1670.0,51.31,12.51,12.29,348.0,10.69,112.0,3.44,264.0,8.11,,,,,39.0,10.0,0.31,1.04,18.0,0.55,46.0,1.2,87.0,105.0,91.0,2.8,732.25,,6.56,0.2,-0.28,0.13,32.0,23.0,71.0,5.0,5.0,,24.0,,,0.12,0.0,7.35,,,,7.0,2929.0,86.15,,890.0,2.7,0.08,2.0,,,,2.0,100.0,2.26,,83.0,,0.86,2.55,,4.28,492,485,25.0,25.0
2027-2028,Đorđe Petrović,FC Porto,GK,GK,28,Int,Full Contract,SRB,48000000.0,71000000.0,5409000.0,7/24/2026,6/30/2031,78000000.0,40.0,0.0,40.0,0.0,0.0,7.0,0.0,0.0,0.0,First-Choice Goalkeeper,,Fairly Determined,15-17,,,4.0,0.0,11.0,16.0,7-10,13.0,14.0,13.0,13.0,13.0,13.0,14.0,14.0,1-3,1-3,14.0,1.0,9.0,1-3,11.0,1-2,5-7,13.0,2-4,17.0,13.0,12.0,1-3,2-4,1-2,12-15,1-3,13.0,11.0,12.0,1.0,16.0,13.0,17.0,10.0,12-14,14.0,1-3,12-14,11-13,12.0,12-14,11-13,,,,,,,0.0,,3.57,,,,,,,157.0,3.9,0.0,,0.0,1.19,0.03,85.0,,,,,,,0.07,5.0,0.12,0.0,0.0,,0.0,0.0,2.0,0.0,,,,,,0.0,0.0,83.0,873.0,21.47,721.0,17.73,5.85,5.48,0.0,0.0,0.0,0.0,14.0,0.34,77.0,29.0,39.0,9.0,0.0,,,,,,,,100.0,1.0,1.0,0.02,,0.54,0.35,0.01,0.0,0.0,0.0,0.0,68.0,7.0,6.0,,27.0,33.0,0.81,,0.0,6.67,6.0,,,6.7,3660.0,91.5,39.0,,0.0,0.0,0.0,1.0,1.0,100.0,0.0,,2.2,22.0,96.0,33.0,0.81,2.36,1.0,0.0,306,282,,
2027-2028,Stephen Eustáquio,FC Porto,"DM, M (C)",DMCL,31,Wnt,Full Contract,CAN,21000000.0,31000000.0,4244000.0,7/12/2027,6/30/2029,13500000.0,41.0,5.0,36.0,9.0,10.0,7.19,2.0,0.0,3.0,Squad Player,Trained in nation (15-21),Spirited,14.0,,,7.0,0.0,13.0,4-6,13.0,14.0,14-17,14.0,14.0,2-4,1-2,14-16,12-14,12-14,13.0,13-15,12.0,1-3,11.0,14.0,13.0,9-11,1-4,10.0,8.0,2-5,12.0,11.0,9-11,7-9,16.0,13-16,2-4,12.0,15.0,9-12,13.0,1-2,1.0,1-3,15.0,8.0,12.0,14.0,14.0,1-3,16.0,14.0,125.0,3.44,0.28,5.0,0.14,0.85,31.0,14.0,0.39,11.0,27.0,146.0,4.02,31.0,0.85,318.6,8.8,48.0,1.32,0.13,,,,1.0,2.0,2.26,43.0,1.18,34.0,18.21,70.0,1.93,0.08,96.0,2.64,2.0,0.06,1.0,3.0,21.0,47.0,1.29,13.0,0.36,74.0,2.04,87.0,1832.0,50.47,1599.0,44.05,11.49,7.93,436.0,12.01,126.0,3.47,194.0,5.34,,,,,84.0,3.0,0.08,1.27,33.0,0.91,39.0,2.31,75.0,61.0,46.0,1.27,363.0,,11.37,0.31,-2.15,0.31,36.0,23.0,66.0,8.0,6.0,,27.0,,,0.25,2.0,7.23,,,,7.4,3267.0,79.68,,277.0,11.15,0.31,0.0,,,,0.0,,2.17,,83.0,,0.94,2.29,,11.15,432,364,40.0,33.0
2027-2028,Fredrik Bjørkan,FC Porto,D/WB (L),S7,29,Int,Full Contract,NOR,300000.0,300000.0,999000.0,1/31/2024,6/30/2028,2700000.0,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,Fringe Player,,Fairly Professional,12.0,,,2.0,1.0,15.0,2-4,15.0,15.0,12.0,12.0,13.0,1-3,1-3,12.0,12.0,7-10,10-12,12.0,14.0,1-3,6-8,11.0,11-14,4-6,1.0,10.0,10.0,2-4,10.0,8-10,9-12,12.0,17.0,13-15,1-3,15.0,12.0,7-9,12.0,1-2,1-2,2-4,14.0,12.0,12.0,14.0,12.0,1-4,9-11,15.0,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,1.4,,0.0,,0.0,,,,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,92.0,12.0,,11.0,,,,4.0,,1.0,,0.0,,,,,,0.0,0.0,,,,,,,100.0,1.0,1.0,,,,0.0,,0.0,,0.0,0.0,100.0,0.0,0.0,13.0,1.0,,,,0.0,6.9,,,,,12.0,12.0,,,0.0,,0.0,,,,0.0,,,,1.0,,,,,0.0,343,290,27.0,24.0
